Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase,Inflation adjusted price,Market value increase adjusted price,Estimated profit of house since purchase
"16 St. Lappans Place, Wallingstown, Little Island",Cork,82500.0,No,Second-Hand Dwelling house /Apartment,22,11,2011,11,97180.7873355434,120447.50167253597,23266.714336992576
"9 Somerton Way, Newcastle Road, Lucan",Dublin,449999.99895000004,No,New Dwelling house /Apartment,30,5,2019,3,470555.26765203755,498923.04258584615,28367.7749338086
"44 Homefarm Road, Drumcondra",Dublin,550000.0,No,Second-Hand Dwelling house /Apartment,4,11,2013,9,628864.4864668295,749593.5442914171,120729.05782458757
"17 Manor Hill, Ballincollig",Cork,180000.0,No,Second-Hand Dwelling house /Apartment,21,4,2011,11,212030.8087320947,262794.5491037149,50763.740371620166
"4 St Patrick's Avenue, Eyre Square, Galway",Galway,104766.66,No,Second-Hand Dwelling house /Apartment,26,4,2013,9,119789.14879953625,142786.2036235888,22997.054824052553
"14 WATERGOLD, DOUGLAS, CORK",Cork,180000.0,No,Second-Hand Dwelling house /Apartment,5,9,2014,8,202768.66558715512,237025.62665341253,34256.96106625741
"2 THE OLD SCHOOLYARD, OLDTOWN, CO. DUBLIN",Dublin,178500.0,No,Second-Hand Dwelling house /Apartment,30,10,2014,8,201078.92670726214,235050.41309796742,33971.48639070528
"47 RIVERVALLEY VIEW, SWORDS, DUBLIN",Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,23,6,2017,5,377049.4013595311,415690.2069764061,38640.805616875004
"2 BUNHOLVILLE, BOGTOWN RD, BUNDORAN",Donegal,80000.0,No,Second-Hand Dwelling house /Apartment,1,2,2019,3,83654.26999999997,88697.42999999998,5043.1600000000035
"5 OCEAN VIEW, THE HERITAGE, ARDMORE",Waterford,293000.0,No,Second-Hand Dwelling house /Apartment,11,10,2019,3,306383.7638749999,324854.33737499994,18470.573500000057
"No. 25 Radharc na Cora, Avoncore, Mill Road",Cork,312125.0,Yes,New Dwelling house /Apartment,9,3,2020,2,321558.9781249999,334356.10312499997,12797.125000000058
"KILLURA, KILLAVULLEN, CORK",Cork,232000.0,No,Second-Hand Dwelling house /Apartment,14,5,2019,3,242597.3829999999,257222.54699999993,14625.164000000019
"13 WOODBROOK AVE, BISHOPSTOWN, CORK",Cork,270000.0,No,Second-Hand Dwelling house /Apartment,5,2,2021,1,274050.0,279450.0,5400.0
"11 Cooline Drive, Ballyvoloon, Cobh",Cork,135000.305,No,New Dwelling house /Apartment,23,10,2013,9,154357.99541216428,183991.5583734042,29633.56296123992
"7 LANDMARK COURT, DUBLIN RD, CARRICK ON SHANNON",Leitrim,120000.0,No,Second-Hand Dwelling house /Apartment,12,9,2019,3,125481.40499999996,133046.14499999996,7564.740000000005
"73 CLONLIFFE AVE, DUBLIN 3, DUBLIN",Dublin,290000.0,No,Second-Hand Dwelling house /Apartment,10,9,2015,7,321855.0247415161,368960.9862023061,47105.961460790015
"22 WATERMINT COURT, ROYAL CANAL PARK DUBLIN 15, DUBLIN",Dublin,285000.0,No,Second-Hand Dwelling house /Apartment,3,12,2021,1,289275.0,294975.0,5700.0
"18 DUNARD DRIVE, BLACKHORSE AVENUE, DUBLIN 7",Dublin,451000.0,No,Second-Hand Dwelling house /Apartment,16,11,2021,1,457764.99999999994,466784.99999999994,9020.0
"APT 9, BROOKFIELD COURT, SOUTH CIRCULAR RD DUBLIN 8",Dublin,250000.0,No,Second-Hand Dwelling house /Apartment,7,7,2017,5,269321.0009710936,296921.5764117186,27600.57544062502
"5 FRIARSFIELD, FRIARSHILL, WICKLOW",Wicklow,250000.0,No,Second-Hand Dwelling house /Apartment,14,8,2015,7,277461.2282254449,318069.8156916432,40608.58746619831
"17 The Grange, Ballyboughal",Dublin,198625.0,No,New Dwelling house /Apartment,25,10,2013,9,227105.83386268004,270705.48679069587,43599.65292801583
"APT 33, THE STRAND, 149 NORTH STRAND RD",Dublin,216000.0,No,Second-Hand Dwelling house /Apartment,13,2,2019,3,225866.52899999992,239483.06099999996,13616.532000000036
"Apartment 8, 34 Ushers Quay",Dublin,167000.0,No,Second-Hand Dwelling house /Apartment,30,3,2012,10,193810.3177791999,235569.9930237272,41759.675244527316
"15  Churchfield Crescent, Churchfields, Ashbourne",Meath,384999.97905,No,New Dwelling house /Apartment,3,6,2020,2,396636.6034167862,412421.6025578362,15784.999141050037
"Lisryan, Granard",Longford,45000.0,No,Second-Hand Dwelling house /Apartment,10,12,2012,10,52224.33712613171,63476.944227950444,11252.607101818736
"OAKVILLE, ARDEE, CO LOUTH",Louth,275000.0,No,Second-Hand Dwelling house /Apartment,4,2,2016,6,300696.897584226,338045.2147447416,37348.31716051564
"24 ISLAND WAY, MUSKERRY ESTATE, BALLINCOLLIG",Cork,230000.0,No,Second-Hand Dwelling house /Apartment,13,8,2015,7,255264.32996740929,292624.23043631174,37359.90046890246
"28 HILLSIDE DRIVE, RATHFARNHAM",Dublin,600000.0,No,Second-Hand Dwelling house /Apartment,25,6,2010,12,717370.9028769203,906641.1944078162,189270.29153089586
"Farranreagh Islan, Knightstown, Valentia",Kerry,139999.98,No,New Dwelling house /Apartment,10,2,2015,7,155378.2656093509,178119.07134173496,22740.805732384062
"25 Ferns Dale, Ferns Bridge, Monasterevin",Kildare,149949.39,No,New Dwelling house /Apartment,12,8,2010,12,179282.21548357245,226583.82341720577,47301.60793363332
"12 STRAND PALACE, UPPER STRAND, YOUGHAL",Cork,50000.0,No,Second-Hand Dwelling house /Apartment,16,9,2014,8,56324.62932976531,65840.45184817014,9515.822518404828
"53 Beechdale, Kilcoole",Wicklow,180000.0,No,Second-Hand Dwelling house /Apartment,8,4,2013,9,205810.19557096242,245321.52358628195,39511.32801531954
"2 Chestnut Green, Hilview, Waterford",Waterford,95000.0,No,Second-Hand Dwelling house /Apartment,7,11,2012,10,110251.37837738915,134006.8822590065,23755.503881617347
"56 CIMIN MOR, CAPPAGH RD, KNOCKNACARRA",Galway,170500.0,Yes,Second-Hand Dwelling house /Apartment,12,5,2016,6,186432.0765022201,209588.0331417398,23155.956639519718
"KILACLORAN, AUGHRIM, CO WICKLOW",Wicklow,246000.0,No,Second-Hand Dwelling house /Apartment,23,6,2017,5,265011.8649555561,292170.83118913113,27158.966233575018
"CURRABINNY, CARRIGGALINE, CORK",Cork,585000.0,No,Second-Hand Dwelling house /Apartment,6,4,2021,1,593775.0,605475.0,11700.0
"GOLDENHILL, MANOR KILBRIDE, BLESSINGTON",Wicklow,565000.0,No,Second-Hand Dwelling house /Apartment,24,10,2019,3,590808.2818749998,626425.5993749999,35617.31750000012
"5 WINDMILL LANE, ELPHIN, CO ROSCOMMON",Roscommon,35000.0,No,Second-Hand Dwelling house /Apartment,5,9,2017,5,37704.94013595311,41569.020697640604,3864.080561687493
"17 Baymeadows Avenue, Bay Meadows, Hollystown",Dublin,314999.955,No,New Dwelling house /Apartment,10,11,2020,2,324520.82863987493,337435.82679487497,12914.998155000038
"7 SUNNYSIDE LAWNS, DUNBRINN, ATHY",Kildare,71000.0,No,Second-Hand Dwelling house /Apartment,5,12,2014,8,79980.97364826674,93493.4416244016,13512.467976134867
"46 DOLMEN GARDENS, CARLOW, CARLOW",Carlow,123500.0,No,Second-Hand Dwelling house /Apartment,12,2,2015,7,137065.84674336977,157126.48895167175,20060.642208301986
"Apartment 74, Northbank, Castleforbes Road  Upper Sheriff St",Dublin,244377.98500000002,No,New Dwelling house /Apartment,14,12,2017,5,263264.4941419956,290244.3861860773,26979.892044081702
"29 Meadowgate, Marlton Road, Wicklow",Wicklow,364998.975,No,New Dwelling house /Apartment,21,4,2020,2,376031.0690193749,390996.02699437493,14964.957975000027
"23 The Grove, Barnhall Meadows, Leixlip",Kildare,474999.99700000003,No,New Dwelling house /Apartment,24,11,2021,1,482124.996955,491624.996895,9499.999940000009
"MAIN STREET, ATHEA",Limerick,100000.0,Yes,Second-Hand Dwelling house /Apartment,3,12,2010,12,119561.8171461534,151106.86573463603,31545.048588482634
"39 Francis St, Drogheda",Louth,58500.0,No,Second-Hand Dwelling house /Apartment,27,2,2013,9,66888.31356056278,79729.49516554164,12841.181604978861
"12 HILLSBROOK GROVE, PERRYSTOWN ESTATE, DUBLIN 12",Dublin,455000.0,No,Second-Hand Dwelling house /Apartment,8,6,2017,5,490164.2217673904,540397.2690693279,50233.04730193748
"24 East End Holiday Home, Ballybunion",Kerry,88000.0,No,Second-Hand Dwelling house /Apartment,25,2,2015,7,97666.3523353566,111960.57512345842,14294.222788101819
"Litleton, The Pigeons, Athlone",Westmeath,120000.0,No,Second-Hand Dwelling house /Apartment,9,8,2011,11,141353.87248806312,175196.36606914323,33842.49358108011
"5 CARNSORE, PILOT VIEW, HARBOUR ROAD",Dublin,705000.0,No,Second-Hand Dwelling house /Apartment,26,3,2020,2,726308.6249999998,755213.6249999999,28905.000000000116
"14 Glenheron Park, Glenheron, Greystones",Wicklow,584999.9975,No,New Dwelling house /Apartment,22,10,2021,1,593774.9974625,605474.9974125,11699.999949999969
"50 GARDEN VILLAGE DRIVE, KILPEDDAR, GREYSTONES",Wicklow,320000.0,No,Second-Hand Dwelling house /Apartment,25,9,2020,2,329671.9999999999,342791.99999999994,13120.000000000058
"SEAMOUNT COTTAGES, COURTOWN HARBOUR, GOREY",Wexford,135000.0,No,Second-Hand Dwelling house /Apartment,26,9,2014,8,152076.49919036633,177769.21999005938,25692.720799693052
"ROSSPORT, BALLINA, CO MAYO",Mayo,45000.0,No,Second-Hand Dwelling house /Apartment,3,7,2014,8,50692.16639678878,59256.40666335313,8564.240266564353
"1 CANAL VIEW, DANGAN, OFFALY",Offaly,50000.0,No,Second-Hand Dwelling house /Apartment,5,3,2015,7,55492.24564508898,63613.96313832865,8121.7174932396665
"467 PEARSE VILLAS, SALLYNOGGIN, DUBLIN",Dublin,372000.0,No,Second-Hand Dwelling house /Apartment,8,7,2021,1,377579.99999999994,385019.99999999994,7440.0
"43 Knockcarrick, Anyalla",Monaghan,44265.0,No,New Dwelling house /Apartment,11,11,2013,9,50612.157260825836,60328.6513419265,9716.494081100667
"9 FERN DR, CASTLE HEIGHTS, CARRIGALINE",Cork,238000.0,No,Second-Hand Dwelling house /Apartment,24,6,2020,2,245193.54999999993,254951.54999999996,9758.00000000003
"2 ST ANNES TERRACE, SHORTCOURSE, WATERFORD",Waterford,135000.0,No,Second-Hand Dwelling house /Apartment,21,2,2020,2,139080.37499999997,144615.37499999997,5535.0
"16 CASTLEROCK WOODS, CASTLECONNELL, LIMERICK",Limerick,208000.0,No,Second-Hand Dwelling house /Apartment,9,10,2017,5,224075.0728079499,247038.75157454988,22963.678766599973
"APT 5, VALENTIA HOUSE, CUSTOM HOUSE SQ DUBLIN 1",Dublin,394000.0,No,Second-Hand Dwelling house /Apartment,14,6,2016,6,430816.64599340013,484326.5985797389,53509.95258633874
"97 THE MALTINGS, BONHAM ST, DUBLIN 8",Dublin,180000.0,No,Second-Hand Dwelling house /Apartment,10,8,2018,4,191045.43911249994,206554.14011249994,15508.701000000001
"41 An Glasán, Greenville Road, Enniscorthy",Wexford,232675.0,No,New Dwelling house /Apartment,12,11,2020,2,239707.60187499993,249247.27687499998,9539.675000000047
"23 Fairhaven Walk, Castleknock Road, Castleknock",Dublin,569649.6900000001,No,New Dwelling house /Apartment,30,1,2020,2,586867.3518802499,610222.98917025,23355.6372900001
"ELM COURT, BALLYNAMETAGH, CARRIGALINE",Cork,630000.0,No,Second-Hand Dwelling house /Apartment,14,5,2021,1,639449.9999999999,652050.0,12600.000000000116
"25 THE TERRACE, ROBSWALL, MALAHIDE",Dublin,454998.8,No,New Dwelling house /Apartment,19,4,2016,6,497515.3729619844,559309.6983803627,61794.325418378285
"The Haws, Churchtown, Carrigans",Donegal,167500.0,No,Second-Hand Dwelling house /Apartment,9,3,2015,7,185899.0229110481,213106.77651340095,27207.753602352866
"6 CLARAGHGLEN, TONNAPHABBLE, SLIGO TOWN",Sligo,139000.0,Yes,Second-Hand Dwelling house /Apartment,5,2,2015,7,154268.44289334735,176846.81752455363,22578.374631206272
"1 RATHMINES TOWN CENTRE, RATHMINES RD LOWER, RATHMINES DUBLIN 6",Dublin,214000.0,No,Second-Hand Dwelling house /Apartment,30,5,2016,6,233996.85848372494,263060.6398377262,29063.781354001258
"161 WOODLANDS, NAVAN, MEATH",Meath,180000.0,No,Second-Hand Dwelling house /Apartment,4,7,2016,6,196819.7875096752,221265.95874201268,24446.17123233748
"BARLEYFIELD, KILBRITTAIN, CORK",Cork,268000.0,No,Second-Hand Dwelling house /Apartment,21,5,2018,4,284445.4315674999,307536.1641674999,23090.732600000047
"102 HILLVIEW EST, BALLINTEER, DUBLIN 16",Dublin,345000.0,No,Second-Hand Dwelling house /Apartment,31,8,2020,2,355427.6249999999,369572.62499999994,14145.000000000058
"82 ROYSTON, KIMMAGE RD WEST, DUBLIN 12",Dublin,360000.0,No,Second-Hand Dwelling house /Apartment,23,5,2019,3,376444.21499999985,399138.4349999999,22694.22000000003
"22 RATHMORE, CHURCH HILL MEADOWS, RAHEEN",Limerick,315000.0,No,Second-Hand Dwelling house /Apartment,22,2,2021,1,319724.99999999994,326025.0,6300.000000000058
"8 MOUNT EUSTACE DR, TYRRELSTOWN, DUBLIN 15",Dublin,230000.0,No,Second-Hand Dwelling house /Apartment,10,10,2016,6,251491.95070680717,282728.72505923844,31236.77435243127
"The Shcool House, Narin, Portnoo",Donegal,350000.0,No,Second-Hand Dwelling house /Apartment,5,2,2016,6,382705.14237992396,430239.36422058026,47534.221840656304
"1 Saint Patrick's Terrace, Carrigallen",Leitrim,25000.0,No,Second-Hand Dwelling house /Apartment,13,6,2013,9,28584.74938485589,34072.433831428054,5487.684446572162
"2 Balure  Balure Lane, Church Road, Killiney",Dublin,1250000.0,No,New Dwelling house /Apartment,22,9,2016,6,1366804.0799282999,1536569.1579306438,169765.0780023439
"23  Burton House, Custom House Square, IFSC",Dublin,196000.0,No,Second-Hand Dwelling house /Apartment,14,10,2011,11,230877.99173050313,286154.06457960064,55276.072849097516
"1 MERVAL DR, CLAREVIEW, ENNIS RD",Limerick,147000.0,No,Second-Hand Dwelling house /Apartment,1,4,2015,7,163147.2021965616,187025.0516266862,23877.849430124625
"8 ST MANCHANS TERRACE, MOATE",Westmeath,28950.0,Yes,Second-Hand Dwelling house /Apartment,15,11,2013,9,33101.13978766312,39455.878376793684,6354.73858913056
"CLOGHOGE, SWANLINBAR, CAVAN",Cavan,125000.0,No,Second-Hand Dwelling house /Apartment,29,8,2019,3,130709.79687499996,138589.73437499997,7879.937500000015
"7 THE LAWN, COOLROE MEADOWS, BALLINCOLLIG",Cork,310000.0,No,Second-Hand Dwelling house /Apartment,19,9,2016,6,338967.4118222184,381069.15116679965,42101.73934458126
"Apartment No.20A, Abelard Square, Phoenix Park Racecourse",Dublin,144757.9908,No,New Dwelling house /Apartment,10,6,2020,2,149133.30107192995,155068.37869472997,5935.077622800018
"30 CASTLEWOOD PARK, KILLERISK, TRALEE",Kerry,175000.0,No,Second-Hand Dwelling house /Apartment,23,12,2015,7,194222.8597578114,222648.87098415024,28426.01122633883
"7 Taylor Hill Wood, Naul Road, Balbriggan",Dublin,354999.625,No,New Dwelling house /Apartment,25,6,2019,3,371215.43099560926,393594.4298557968,22378.998860187538
"22 MICHAEL COLLINS ROAD, MERVUE, GALWAY",Galway,100000.0,Yes,Second-Hand Dwelling house /Apartment,6,1,2017,5,107728.40038843745,118768.63056468745,11040.23017625
"6 Gleann na bhFear, Furbo, County Galway",Galway,537499.9978,No,New Dwelling house /Apartment,26,11,2020,2,553745.9352335049,575783.435143305,22037.499909800128
"4 DUN EIMEAR, EASTHAM ROAD, BETTYSTOWN",Meath,335000.0,No,Second-Hand Dwelling house /Apartment,15,6,2021,1,340024.99999999994,346725.0,6700.000000000058
"32 WOODLANDS, TIPPER ROAD, NAAS",Kildare,362000.0,No,Second-Hand Dwelling house /Apartment,10,12,2015,7,401763.8584704442,460565.0931214994,58801.23465105519
"42 Strattan Walk, Adamstown Square, Adamstown",Dublin,129999.495,No,New Dwelling house /Apartment,4,3,2014,8,146443.46737863356,171184.5098166787,24741.042438045144
"APT 1, 19 DAVIS ST, LIMERICK",Limerick,55000.0,No,Second-Hand Dwelling house /Apartment,20,12,2019,3,57512.31062499998,60979.483124999984,3467.172500000008
"39 MEADOW COURT, DAINGEAN, OFFALY",Offaly,150000.0,No,Second-Hand Dwelling house /Apartment,18,4,2016,6,164016.48959139598,184388.29895167725,20371.809360281273
"6 BRIDGE COURT, BRIDGE STREET, BALLINASLOE",Galway,66000.0,No,Second-Hand Dwelling house /Apartment,2,4,2020,2,67994.84999999998,70700.84999999999,2706.0000000000146
"DRUMCOMOGUE, KNOCKLONG, CO TIPPERARY",Tipperary,190000.0,No,Second-Hand Dwelling house /Apartment,3,11,2016,6,207754.22014910157,233558.51200545783,25804.291856356256
"19 COLTHURST WAY, LUCAN, CO DUBLIN",Dublin,200000.0,No,Second-Hand Dwelling house /Apartment,27,2,2014,8,225298.51731906124,263361.80739268055,38063.29007361931
"47 Wilson Road, Mount Merrion",Dublin,690000.0,No,Second-Hand Dwelling house /Apartment,7,10,2013,9,788939.0830220225,940399.1737474141,151460.09072539164
"35 ST BRIGIDS CRESCENT, BAGENALSTOWN, CARLOW",Carlow,135000.0,Yes,Second-Hand Dwelling house /Apartment,18,6,2018,4,143284.07933437495,154915.60508437495,11631.52575
"19 Moyglare Rise, Maynooth",Kildare,404999.78,No,New Dwelling house /Apartment,23,11,2020,2,417240.8983504999,433845.8893305,16604.99098000006
"Apt 21  Block D  Granitefield Mews, Dun Laoghaire, Co Dublin",Dublin,265000.0,No,Second-Hand Dwelling house /Apartment,25,6,2013,9,302998.34347947245,361167.79861313733,58169.45513366489
"3 CASTLEFARM WOOD, SHANKILL, DUBLIN 18",Dublin,442000.0,No,Second-Hand Dwelling house /Apartment,21,4,2016,6,483301.92266264686,543330.8542442756,60028.93158162874
"Broomfield, Midleton",Cork,79450.0,No,New Dwelling house /Apartment,25,1,2016,6,86874.06732024274,97664.33567807171,10790.268357828973
"18 Avenue Three, Yellowbatter, Drogheda",Louth,72500.0,No,Second-Hand Dwelling house /Apartment,30,1,2013,9,82895.77321608207,98810.05811114135,15914.284895059274
"Apt 18  Pappan Grove, Northwood, Santry Demesne",Dublin,244999.99905,No,New Dwelling house /Apartment,20,8,2019,3,256191.20088160547,271635.87832171796,15444.677440112486
"BLEANASKILL, ACHILL SOUND, MAYO",Mayo,210000.0,No,Second-Hand Dwelling house /Apartment,29,9,2017,5,226229.64081571865,249414.12418584366,23184.483370125003
"KNAWHILL, FREEMOUNT, CHARLEVILLE",Cork,100000.0,No,Second-Hand Dwelling house /Apartment,8,11,2018,4,106136.35506249996,114752.30006249997,8615.945000000007
"12 The Glen, Mortarstown, Carlow",Carlow,170000.0,No,Second-Hand Dwelling house /Apartment,16,4,2012,10,197291.94025427534,239801.78930559056,42509.84905131522
"CLUAIN CHAOIN, OLD SPA RD, CLONMEL",Tipperary,360000.0,No,Second-Hand Dwelling house /Apartment,8,6,2018,4,382090.8782249999,413108.2802249999,31017.402000000002
"21 RIVERBANK, NORTH MAIN STREET, BANDON",Cork,137500.0,No,Second-Hand Dwelling house /Apartment,21,2,2017,5,148126.5505341015,163306.86702644525,15180.316492343758
"40 Clanree Road, Donnycarney",Dublin,187000.0,No,Second-Hand Dwelling house /Apartment,15,7,2010,12,223580.59806330685,282569.83892376936,58989.24086046251
"41 ROSSE COURT TERRACE, BALGADDY RD, LUCAN",Dublin,137000.0,No,Second-Hand Dwelling house /Apartment,9,9,2014,8,154329.48436355696,180402.8380639862,26073.35370042923
"9 RINGFORT CLOSE, BALROTHERY, BALBRIGGAN",Dublin,87500.0,Yes,Second-Hand Dwelling house /Apartment,22,5,2019,3,91496.85781249996,97012.81406249998,5515.9562500000175
"3 AIRPARK HOUSE, STOCKING LANE, RATHFARNHAM DUBLIN 16",Dublin,216500.0,No,Second-Hand Dwelling house /Apartment,21,9,2015,7,240281.42364323526,275448.46038896305,35167.03674572779
"51 BALLYRAINE HALLS, LETTERKENNY, DONEGAL",Donegal,45497.25,No,Second-Hand Dwelling house /Apartment,20,3,2015,7,50494.89146352049,57885.207687906455,7390.316224385962
"APARTMENT 24A HARBOUR QUAY, MULLINGAR, CO WESTMEATH",Westmeath,107238.0,No,Second-Hand Dwelling house /Apartment,27,3,2020,2,110479.26854999996,114876.02654999998,4396.758000000016
"KELLY ST, LOUGHREA, GALWAY",Galway,103000.0,No,Second-Hand Dwelling house /Apartment,16,11,2015,7,114314.0260288833,131044.76406495701,16730.738036073715
"COOLEANIG, BEAUFORT, KERRY",Kerry,102000.0,No,Second-Hand Dwelling house /Apartment,22,9,2014,8,114902.24383272123,134314.5217702671,19412.277937545878
"23 ST BRIGIDS RD, KILLESTER, DUBLIN 5",Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,14,10,2015,7,493880.9862412919,566164.271931125,72283.28568983305
"2A CLONSHAUGH GROVE, COOLOCK, DUBLIN 17",Dublin,100000.0,No,Second-Hand Dwelling house /Apartment,25,7,2014,8,112649.25865953062,131680.90369634028,19031.645036809656
"12 WHITESGATE, WHITES RD, CASTLEKNOCK DUBLIN 15",Dublin,1000000.0,No,Second-Hand Dwelling house /Apartment,26,11,2014,8,1126492.5865953062,1316809.036963403,190316.45036809682
"CHAPEL ST, DRIMOLEAGUE, CORK",Cork,130000.0,No,Second-Hand Dwelling house /Apartment,6,11,2015,7,144279.83867723134,165396.30415965448,21116.46548242314
"11 HILLVIEW EST, BALLINTEER, DUBLIN 16",Dublin,395000.0,No,Second-Hand Dwelling house /Apartment,9,9,2021,1,400924.99999999994,408824.99999999994,7900.0
"SPRINGPARK, PALACE EAST, ENNISCORTHY",Wexford,190000.0,No,Second-Hand Dwelling house /Apartment,16,12,2016,6,207754.22014910157,233558.51200545783,25804.291856356256
"Unit 63 Millrace Park, Millrace, Saggart",Dublin,166999.36000000002,No,New Dwelling house /Apartment,2,12,2014,8,188123.54100616073,219906.26641510465,31782.725408943923
"1 ELM GROVE, JOHNSTOWN, NAVAN",Meath,175000.0,No,Second-Hand Dwelling house /Apartment,1,4,2015,7,194222.8597578114,222648.87098415024,28426.01122633883
"47 THE ORCHARD, ATHLONE, WESTMEATH",Westmeath,190000.0,No,Second-Hand Dwelling house /Apartment,6,11,2020,2,195742.74999999994,203532.74999999997,7790.000000000029
"24A Seachnall Abbey, Dunshaughlin",Meath,485000.255,No,New Dwelling house /Apartment,2,6,2017,5,522483.01659134263,576028.161098742,53545.14450739941
"BALLYTRASNA, LISSARDA, CO. CORK",Cork,365000.0,No,Second-Hand Dwelling house /Apartment,27,9,2016,6,399106.79133906355,448678.19411574793,49571.40277668438
"56 The Close, Citywest Village, Citywest",Dublin,339999.99844999996,No,New Dwelling house /Apartment,16,3,2018,4,360863.6055673863,390157.8184338392,29294.212866452872
"20 Ballintine Park, Allen, Co. Kildare",Kildare,275010.5,No,New Dwelling house /Apartment,16,4,2021,1,279135.6575,284635.8675,5500.210000000021
"4 NOOREY PARK, BELGARRIFF, FOXFORD",Mayo,210000.0,No,Second-Hand Dwelling house /Apartment,14,6,2017,5,226229.64081571865,249414.12418584366,23184.483370125003
"28 THE HAVEN, GRANTSTOWN PARK, WATERFORD",Waterford,169000.0,No,Second-Hand Dwelling house /Apartment,6,7,2016,6,184791.91160630615,207744.15015222304,22952.238545916887
"29 MOUNTAINVIEW, POINT RD, DUNDALK",Louth,124780.0,No,Second-Hand Dwelling house /Apartment,22,12,2017,5,134423.49800469226,148199.497218617,13775.999213924748
"40 Kilmalum Avednue, Blessington",Kildare,355000.0,No,Second-Hand Dwelling house /Apartment,15,1,2016,6,388172.3586996372,436385.64085230284,48213.28215266566
"20 WOODHAVEN, BISHOPSTOWN, CORK",Cork,205000.0,No,Second-Hand Dwelling house /Apartment,9,2,2015,7,227518.2071448648,260817.24886714743,33299.04172228262
"3 Summerfield, Dunmanaway, Co Cork",Cork,210438.9426,Yes,New Dwelling house /Apartment,14,5,2019,3,220051.4515346862,233317.41725671894,13265.965722032735
"8 The Wood, Oldbridge Manor, Rathmullan",Meath,330000.0015,No,New Dwelling house /Apartment,22,10,2021,1,334950.0015225,341550.0015525,6600.000029999996
"4 Hawthorn Gate, maynooth road, Celbridge",Kildare,370000.00065,No,New Dwelling house /Apartment,2,3,2017,5,398595.0821374532,439443.93386133964,40848.851723886444
"41 Westside apartments, Lr Main Street, Letterkenny",Donegal,29000.0,No,Second-Hand Dwelling house /Apartment,12,7,2012,10,33655.68392572932,40907.36405801251,7251.680132283189
"1 WINTER GARDEN, PEARSE ST, DUBLIN 2",Dublin,270000.0,No,Second-Hand Dwelling house /Apartment,15,3,2016,6,295229.68126451276,331898.93811301904,36669.25684850628
"BALLYNAMONA, DURROW, TULLAMORE",Offaly,150000.0,No,Second-Hand Dwelling house /Apartment,13,11,2015,7,166476.73693526693,190841.88941498593,24365.152479718992
"14 MOUNTAIN VIEW, BUNDORAN, DONEGAL",Donegal,82000.0,No,Second-Hand Dwelling house /Apartment,19,8,2021,1,83229.99999999999,84870.0,1640.0000000000146
"THE HALT, MULLINBUOYS, MOUNTCHARLES",Donegal,160000.0,No,Second-Hand Dwelling house /Apartment,9,10,2018,4,169818.16809999995,183603.68009999994,13785.511999999988
"DOON RD, CAPPAMORE",Limerick,112500.0,No,Second-Hand Dwelling house /Apartment,23,9,2016,6,123012.36719354699,138291.22421375793,15278.85702021094
"167 REDFORD PARK, GREYSTONES, WICKLOW",Wicklow,330000.0,No,Second-Hand Dwelling house /Apartment,19,10,2015,7,366248.82125758723,419852.15671296907,53603.335455381835
"APT 395  - BLK H, CASTLEFORBES SQUARE, CASTLEFORBES ROAD",Dublin,365000.0,No,Second-Hand Dwelling house /Apartment,10,11,2021,1,370474.99999999994,377774.99999999994,7300.0
"40 Castle Gardens, St. Helen's Bay Golf Resort, Kilrane  Rosslare harbour",Wexford,128500.0,No,Second-Hand Dwelling house /Apartment,31,5,2013,9,146925.61183815927,175132.3098935402,28206.698055380926
"10 The Gate, Elsemore, Naas",Kildare,354295.1532,No,New Dwelling house /Apartment,28,2,2020,2,365003.7242054699,379529.82548666996,14526.10128120007
"65 Cadogan Road, Fairview",Dublin,185000.0,No,Second-Hand Dwelling house /Apartment,8,2,2010,12,221189.36172038378,279547.70160907664,58358.33988869286
"BOULACLOUGHAGH, RATHGORMACK, CARRICK ON SUIR",Waterford,160000.0,No,Second-Hand Dwelling house /Apartment,20,7,2020,2,164835.99999999994,171395.99999999997,6560.000000000029
"12 MARLFIELD PLACE, KILTIPPER WAY, TALLAGHT DUBLIN 24",Dublin,182000.0,No,Second-Hand Dwelling house /Apartment,1,9,2015,7,201991.7741481239,231554.82582351626,29563.051675392373
"75 NEWBOROUGH, HOLLYFORT RD, GOREY",Wexford,180000.0,No,Second-Hand Dwelling house /Apartment,13,5,2021,1,182699.99999999997,186300.0,3600.000000000029
"25 MOYLARAGH MEWS, BALBRIGGAN, DUBLIN",Dublin,120000.0,No,Second-Hand Dwelling house /Apartment,12,10,2016,6,131213.1916731168,147510.6391613418,16297.447488225007
"Cloonavaddogge, Kilskeagh, Athenry",Galway,215400.3,No,New Dwelling house /Apartment,19,8,2010,12,257536.51281826582,325484.6421130032,67948.12929473736
"33 Slan Duff View, Kentstown, Co Meath",Meath,262499.99655,No,New Dwelling house /Apartment,21,9,2021,1,266437.49649824994,271687.49642924994,5249.9999309999985
"9 PARK VIEW, CREGGAUN NA HILLA, CLARECASTLE",Clare,212499.9891,No,New Dwelling house /Apartment,2,4,2019,3,222206.64328960562,235602.53635247512,13395.893062869494
