Address,County,Price (€),Not Full Market Price,Description of Property,day,month,year,Years since purchase
"KILNAVARA, CAVAN",Cavan,258800.0,No,Second-Hand Dwelling house /Apartment,22,10,2021,1
"13 Silverbrook Crescent, Arden Road, Tullamore",Offaly,338999.53,No,New Dwelling house /Apartment,9,9,2020,2
"29 Hollystown Demesne, Hollystown, Dublin 15",Dublin,315000.0,No,Second-Hand Dwelling house /Apartment,7,6,2012,10
"NO 7 RIVERVIEW, SLANEYQUARTER, GRANGE",Carlow,200895.0,No,New Dwelling house /Apartment,18,12,2015,7
"25 CLONARD RD, CRUMLIN, DUBLIN 12",Dublin,267000.0,No,Second-Hand Dwelling house /Apartment,26,11,2020,2
"93 Ard Mor Drive, Tallaght",Dublin,20000.0,Yes,Second-Hand Dwelling house /Apartment,5,4,2012,10
"6 ORCHARD COURT, BLACKPOOL, CORK",Cork,30500.0,No,Second-Hand Dwelling house /Apartment,9,12,2016,6
"23A KNOCKHILL EST, ENNIS RD, LIMERICK",Limerick,196000.0,No,Second-Hand Dwelling house /Apartment,14,1,2019,3
"20 ARD MULLEN, GORTAMULLEN, KENMARE",Kerry,310000.0,No,Second-Hand Dwelling house /Apartment,5,11,2021,1
"56 GLENMORE WOOD, MULLINGAR, WESTMEATH",Westmeath,215000.0,No,Second-Hand Dwelling house /Apartment,25,6,2019,3
"84 HAZELWOOD, MILLFIELD, NEWBRIDGE",Kildare,174000.0,No,Second-Hand Dwelling house /Apartment,7,12,2018,4
"5 LARKSPUR HALL, LEVMOSS PARK, THE GALLOPS DUBLIN 18",Dublin,260000.0,No,Second-Hand Dwelling house /Apartment,2,3,2021,1
"341 KILDARE RD, CRUMLIN, DUBLIN 12",Dublin,120718.0,Yes,Second-Hand Dwelling house /Apartment,9,4,2014,8
"LISMEEN, BALLYJAMESDUFF",Cavan,72000.0,No,Second-Hand Dwelling house /Apartment,20,10,2014,8
"MAIN STREET, BRUFF, COUNTY LIMERICK",Limerick,70000.0,No,Second-Hand Dwelling house /Apartment,26,2,2018,4
"18 KIERNAN AVE, COLLOONEY, SLIGO",Sligo,99000.0,No,Second-Hand Dwelling house /Apartment,5,10,2021,1
"3 MAIN ST, BALLYGAR, CO GALWAY",Galway,124000.0,No,Second-Hand Dwelling house /Apartment,19,8,2021,1
"19 LEEVIEW COURT, COBH, CORK",Cork,210000.0,No,Second-Hand Dwelling house /Apartment,17,7,2018,4
"BALLYGLOONEEN, TUAM, COUNTY GALWAY",Galway,150000.0,No,Second-Hand Dwelling house /Apartment,7,4,2017,5
"2 MARINE COURT, BLACKROCK, DUNDALK",Louth,260000.0,No,Second-Hand Dwelling house /Apartment,18,11,2020,2
"15 REDFORD PARK, GREYSTONES, WICKLOW",Wicklow,415000.0,No,Second-Hand Dwelling house /Apartment,26,8,2020,2
"Tooromin, Bohola, Claremorris",Mayo,85000.0,No,Second-Hand Dwelling house /Apartment,27,6,2013,9
"20 COURSE SIDE, FOTA ISLAND FOTA, CORK",Cork,293000.0,No,Second-Hand Dwelling house /Apartment,19,3,2019,3
"NEW ST, ABBEYFEALE, LIMERICK",Limerick,71000.0,No,Second-Hand Dwelling house /Apartment,28,10,2016,6
"56 Mill Gate, Millerstown, Maynooth",Meath,334998.655,No,New Dwelling house /Apartment,16,12,2019,3
"8 ARD NA CARRAIGE, EDENDERRY, COUNTY OFFALY",Offaly,178000.0,No,Second-Hand Dwelling house /Apartment,1,12,2021,1
"Apt 5/21 Corran Riada, Monksland, Athlone",Roscommon,85000.0,No,Second-Hand Dwelling house /Apartment,15,12,2015,7
"48 GLENMORE PARK, MUIRHEVNAMORE, DUNDALK",Louth,59000.0,No,Second-Hand Dwelling house /Apartment,20,10,2015,7
"21 St. James Wood, Kilmainham, Dublin 8",Dublin,207000.0,No,Second-Hand Dwelling house /Apartment,1,7,2011,11
"32 WYNBERG PARK, BLACKROCK, DUBLIN",Dublin,777500.0,No,Second-Hand Dwelling house /Apartment,26,10,2018,4
"16 Mariners Drive, Greenhill road",Wicklow,380000.27,No,New Dwelling house /Apartment,18,7,2012,10
"No. 78 Esker Fields, Ballinasloe",Galway,53000.0,Yes,New Dwelling house /Apartment,24,9,2013,9
"1 ST JOSEPHS TERRACE, BALLYHOOLY RD, ST LUKES",Cork,210000.0,No,Second-Hand Dwelling house /Apartment,4,12,2019,3
"18 PEMBROKE HEIGHTS, PEMBROKE WOOD, PASSAGE WEST",Cork,198500.0,No,Second-Hand Dwelling house /Apartment,18,12,2013,9
"2 COLLEGE VIEW, MIDLETON, CORK",Cork,50500.0,No,Second-Hand Dwelling house /Apartment,30,3,2015,7
"27 Presentation Road, Gurranabraher, Cork",Cork,66000.0,Yes,Second-Hand Dwelling house /Apartment,16,4,2012,10
"26 FOXHOLLOW, GOLF LINKS ROAD, CASTLETROY",Limerick,685000.0,No,Second-Hand Dwelling house /Apartment,30,3,2021,1
"9B Prospect Lawn, Ballincollig",Cork,367499.38,No,New Dwelling house /Apartment,6,7,2012,10
"BALLINVULLEN, NEWCASTLE WEST, CO. LIMERICK",Limerick,20000.0,No,Second-Hand Dwelling house /Apartment,15,5,2015,7
"55A WALKINSTOWN PARADE, WALKINSTOWN, DUBLIN 12",Dublin,400000.0,No,Second-Hand Dwelling house /Apartment,24,9,2019,3
"6 ROSEVALE, DROGHEDA, LOUTH",Louth,227000.0,No,Second-Hand Dwelling house /Apartment,29,7,2019,3
"APT 30, JOHNSTOWN HOUSE, GLASNEVIN DUBLIN 11",Dublin,252000.0,No,Second-Hand Dwelling house /Apartment,27,3,2019,3
"8 Grattan Place, Dublin2",Dublin,408600.0,No,New Dwelling house /Apartment,30,4,2019,3
"42 Ryebridge Rise, Kilcock",Kildare,210567.47,No,New Dwelling house /Apartment,20,3,2015,7
"53 UPPER CROSS RD, RIALTO, DUBLIN 8",Dublin,165000.0,No,Second-Hand Dwelling house /Apartment,12,11,2015,7
"73 BUTTERFIELD PARK, RATHFARNHAM, DUBLIN 14",Dublin,622500.0,No,Second-Hand Dwelling house /Apartment,19,8,2019,3
"47 The Court, Harbour Heights, Passage West",Cork,69999.99,No,New Dwelling house /Apartment,27,11,2015,7
"17 GREENVILLE TERRACE, CIRCULAR RD SOUTH, DUBLIN 8",Dublin,450000.0,No,Second-Hand Dwelling house /Apartment,24,10,2018,4
"26 oriel cove, clogherhead",Louth,25000.0,No,Second-Hand Dwelling house /Apartment,20,5,2010,12
"APT 1, 13 MONCK PLACE, PHIBSBORO",Dublin,175000.0,No,Second-Hand Dwelling house /Apartment,27,4,2018,4
"Maydenhayes Lawn, Mornington, Co. Meath",Meath,1250000.0,No,New Dwelling house /Apartment,3,9,2021,1
"Apt 312 Charlestown Centre, Charlestown Place, St Margaret's Road  Finglas",Dublin,145564.0,No,Second-Hand Dwelling house /Apartment,6,10,2014,8
"229 GRIFFITH AVE, DRUMCONDRA, DUBLIN 9",Dublin,762500.0,No,Second-Hand Dwelling house /Apartment,19,2,2018,4
"18 REILLYS AVE, DOLPHINS BARN, DUBLIN 8",Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,12,5,2017,5
"149 APPLEWOOD HEIGHTS, GREYSTONES, WICKLOW",Wicklow,525000.0,No,Second-Hand Dwelling house /Apartment,5,2,2020,2
"134 ABBEY GROVE, NAVAN, CO MEATH",Meath,140000.0,No,Second-Hand Dwelling house /Apartment,28,9,2015,7
"3  Finnow Grove, Killarney Road, Millstreet",Cork,74999.99415,Yes,New Dwelling house /Apartment,9,9,2020,2
"85 EASTHAM COURT, BETTYSTOWN, MEATH",Meath,170000.0,No,Second-Hand Dwelling house /Apartment,5,12,2019,3
"Millmount, Nenagh",Tipperary,100000.0,No,Second-Hand Dwelling house /Apartment,8,8,2013,9
"34 FAWN LODGE, CASTLEKNOCK RD, CASTLEKNOCK DUBLIN 15",Dublin,259911.89,No,Second-Hand Dwelling house /Apartment,18,3,2021,1
"3 CASTLEVILLE COURT, GOLFLINKS ROARD, CASTLETROY",Limerick,170000.0,No,Second-Hand Dwelling house /Apartment,28,11,2018,4
"10 BLOCK D LINDEN, DRUMGEELY, SHANNON",Clare,20000.0,No,Second-Hand Dwelling house /Apartment,19,8,2015,7
"APARTMENT 27, 18/21 LOWER MOUNT STREET, DUBLIN 2",Dublin,1250000.0,No,Second-Hand Dwelling house /Apartment,6,11,2018,4
"4 KILRUSH ROAD, ENNIS, CO CLARE",Clare,107000.0,No,Second-Hand Dwelling house /Apartment,6,5,2014,8
"Gracefield, Portarlington",Offaly,50000.0,No,Second-Hand Dwelling house /Apartment,9,2,2012,10
"2 KERRY HOLIDAY COTTAGES, BALLYHEIGUE, KERRY",Kerry,90000.0,No,Second-Hand Dwelling house /Apartment,1,8,2014,8
"258 ELM MOUNT AVE, BEAUMONT, DUBLIN",Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,20,6,2017,5
"8 COLLEGE FARM LANE, NEWBRIDGE, KILDARE",Kildare,295000.0,No,Second-Hand Dwelling house /Apartment,10,12,2021,1
"20 RATHCALLAN WOOD, LADYSBRIDGE, CORK",Cork,180000.0,No,Second-Hand Dwelling house /Apartment,31,8,2017,5
"5 CARRICKHILL CLOSE, PORTMARNOCK, DUBLIN",Dublin,236000.0,No,Second-Hand Dwelling house /Apartment,6,12,2018,4
"KILMACOWEN, BALLISODARE, CO SLIGO",Sligo,108000.0,No,Second-Hand Dwelling house /Apartment,16,6,2017,5
"19 Berryfield Drive, Finglas",Dublin,37125.0,Yes,Second-Hand Dwelling house /Apartment,22,2,2013,9
"198 Griffinrath Hall, Maynooth",Kildare,170000.3,No,New Dwelling house /Apartment,11,2,2014,8
"16 KNIGHTSBRIDGE MEWS, LONGWOOD ROAD, TRIM",Meath,225000.0,No,Second-Hand Dwelling house /Apartment,13,12,2019,3
"11 TEMPLERAINEY PARK, DUBLIN RD, ARKLOW",Wicklow,350000.0,No,Second-Hand Dwelling house /Apartment,29,11,2018,4
"44 CLORAN COURT, ATHBOY, MEATH",Meath,130000.0,No,Second-Hand Dwelling house /Apartment,2,2,2016,6
"246 GREENPARK MEADOWS, MULLINGAR, WESTMEATH",Westmeath,194000.0,No,Second-Hand Dwelling house /Apartment,20,8,2015,7
"GLENGARI, RICHILL, LISNAGRY",Limerick,385000.0,No,Second-Hand Dwelling house /Apartment,13,3,2015,7
"16 CARAGH RD, OLD CABRA RD, DUBLIN 7",Dublin,450000.0,No,Second-Hand Dwelling house /Apartment,6,12,2019,3
"83C Kenilworth Square, Dublin 6",Dublin,400000.0,No,Second-Hand Dwelling house /Apartment,27,7,2010,12
"8 Radharc Na Tra, Ballyness, Falcarragh",Donegal,110000.00050000001,No,New Dwelling house /Apartment,13,8,2010,12
"57 MOATFIELD RD, COOLOCK, DUBLIN 5",Dublin,355000.0,No,Second-Hand Dwelling house /Apartment,7,11,2017,5
"BELLEVIEW, RATH LUAIN, DUNLAVIN",Wicklow,475000.0,No,Second-Hand Dwelling house /Apartment,3,5,2018,4
"CRINNIE WEST, KNOCKNAGOSHEL, COUNTY KERRY",Kerry,56000.0,No,Second-Hand Dwelling house /Apartment,13,10,2021,1
"8 CUALA RD, CABRA, DUBLIN",Dublin,423000.0,No,Second-Hand Dwelling house /Apartment,4,5,2018,4
"10 WOODLAWN, WATERGRASSHILL, CORK",Cork,230000.0,No,Second-Hand Dwelling house /Apartment,9,11,2017,5
"32 COMERAGH CRESCENT, DUNGARVAN, WATERFORD",Waterford,170000.0,No,Second-Hand Dwelling house /Apartment,22,1,2019,3
"Feahoe, Coolderry, Carrickmacross",Monaghan,74000.0,No,Second-Hand Dwelling house /Apartment,29,2,2012,10
"31 St. Anthony's Crescent, Walkinstown",Dublin,193000.0,No,Second-Hand Dwelling house /Apartment,16,12,2011,11
"DUNGANNY, TRIM, MEATH",Meath,130000.0,No,Second-Hand Dwelling house /Apartment,27,7,2015,7
"95 BEECH LAWN, DUNDRUM, DUBLIN 16",Dublin,670000.0,No,Second-Hand Dwelling house /Apartment,29,6,2018,4
"2 CILL GREINNE, LISMONAGHAN, LETTERKENNY",Donegal,121000.0,No,Second-Hand Dwelling house /Apartment,18,12,2018,4
"BODYKE, CLARE",Clare,42000.0,No,Second-Hand Dwelling house /Apartment,30,7,2014,8
"26 WICKLOW HEIGHTS COURT, WICKLOW, WICKLOW",Wicklow,220000.0,No,Second-Hand Dwelling house /Apartment,13,12,2019,3
"399 Captians Road, Crumlin",Dublin,110000.0,No,Second-Hand Dwelling house /Apartment,14,9,2012,10
"DUNDALK RD, ANNAHALE, CASTLEBLAYNEY",Monaghan,180000.0,No,Second-Hand Dwelling house /Apartment,20,5,2016,6
"32 LANDSCAPE GARDENS, CHURCHTOWN, DUBLIN 14",Dublin,635000.0,No,Second-Hand Dwelling house /Apartment,14,1,2016,6
"27 CILL EANNA, RAHENY, DUBLIN 5",Dublin,562000.0,No,Second-Hand Dwelling house /Apartment,14,4,2016,6
"10 RIVERWOOD COURT, CASTLEKNOCK, DUBLIN 15",Dublin,535000.0,No,Second-Hand Dwelling house /Apartment,20,9,2021,1
"5 FERNLEIGH DALE, CASTLEKNOCK, DUBLIN 15",Dublin,327000.0,No,Second-Hand Dwelling house /Apartment,5,2,2020,2
"KILBODERRY, CARRICK ON SHANNON, LEITRIM",Leitrim,175000.0,No,Second-Hand Dwelling house /Apartment,27,1,2021,1
"31 LANDYS COURT, GEORGE'S HILL, BALBRIGGAN",Dublin,91000.0,No,Second-Hand Dwelling house /Apartment,6,7,2017,5
"CORNER HOUSE, JOHN ST, ARDEE",Louth,330000.0,No,Second-Hand Dwelling house /Apartment,24,5,2021,1
"12 KYLE MEADOW, DULART, GOREY",Wexford,129000.0,No,Second-Hand Dwelling house /Apartment,19,6,2015,7
"94 BEECH PARK, LEIXLIP, KILDARE",Kildare,282000.0,No,Second-Hand Dwelling house /Apartment,26,4,2021,1
"33 LIMELAWN RISE, CLONSILLA, DUBLIN 15",Dublin,266000.0,No,Second-Hand Dwelling house /Apartment,29,11,2013,9
"DERRYCORIS, EDENDERRY, CO OFFALY",Offaly,105000.0,No,Second-Hand Dwelling house /Apartment,4,7,2014,8
"40 COIS GHRUDA, CASTLETROY, LIMERICK",Limerick,165000.0,No,Second-Hand Dwelling house /Apartment,26,10,2016,6
"11 Cois Na Habhann, College Wood, Ballyelis Mallow",Cork,192950.0,No,New Dwelling house /Apartment,25,11,2015,7
"Apartment 23 Castlegate Hall, The Sentinel Building, Adamstown  Lucan",Dublin,109999.66,No,New Dwelling house /Apartment,17,12,2013,9
"25 Castlegrange Avenue, Castaheaney",Dublin,289623.625,No,New Dwelling house /Apartment,3,10,2016,6
"38 THE PADDOCKS CRESCENT, ADAMSTOWN, LUCAN",Dublin,329201.075,No,New Dwelling house /Apartment,13,7,2015,7
"LURGANKEEL, KILCURRY, CO LOUTH",Louth,105000.0,No,Second-Hand Dwelling house /Apartment,6,5,2016,6
"61 CRADDOCKSTOWN PARK, NAAS, KILDARE",Kildare,260000.0,Yes,Second-Hand Dwelling house /Apartment,18,11,2016,6
"36 THE FAIRWAYS, OLD COURSE, MALLOW",Cork,70000.0,No,Second-Hand Dwelling house /Apartment,20,3,2019,3
"8 CEDAR CRESCENT, BALLYLEARY, COBH",Cork,194000.0,No,Second-Hand Dwelling house /Apartment,21,9,2017,5
"22 ORBY DR, THE GALLOPS, LEOPARDSTOWN DUBLIN 18",Dublin,615000.0,No,Second-Hand Dwelling house /Apartment,19,12,2014,8
"13 Connolly Place, Ballyphehane, Cork",Cork,195000.0,No,Second-Hand Dwelling house /Apartment,30,9,2010,12
"MURREIGH, WATERVILLE, KERRY",Kerry,128500.0,No,Second-Hand Dwelling house /Apartment,22,12,2015,7
"83 FIVE OAKS, DUBLIN ROAD, DROGHEDA",Louth,315000.0,No,Second-Hand Dwelling house /Apartment,1,6,2017,5
"3 MACCURTAINSTOWN, YOUGHAL, CORK",Cork,140000.0,No,Second-Hand Dwelling house /Apartment,12,8,2020,2
"11  Deansrath Road, Clondalkin, Dublin",Dublin,137000.0,No,Second-Hand Dwelling house /Apartment,15,4,2010,12
"Cahir Abbey Lodge, Cahir",Tipperary,125000.0,No,Second-Hand Dwelling house /Apartment,16,2,2015,7
"Mount View, Drumadoey, Burnfoot",Donegal,195000.0,No,Second-Hand Dwelling house /Apartment,15,7,2011,11
"BELERNE RIVER VILLAGE, BELTURBET, CAVAN",Cavan,47000.0,No,Second-Hand Dwelling house /Apartment,3,11,2015,7
"9 Olde Mill Stone, Killala Road, Ballina",Mayo,89999.99524999999,No,New Dwelling house /Apartment,6,11,2014,8
"21 KERLOGUE RD, IRISHTOWN, DUBLIN 4",Dublin,380100.0,No,Second-Hand Dwelling house /Apartment,30,10,2015,7
"33 PARKVIEW, RATHBOURNE, ASHTOWN",Dublin,280000.0,No,Second-Hand Dwelling house /Apartment,2,4,2015,7
"9 MILL RD, KILLINCARRIG, GREYSTONES",Wicklow,855000.0,No,Second-Hand Dwelling house /Apartment,21,9,2021,1
"16 BRUACH NA HABHANN, SPIDDAL, CO GALWAY",Galway,69000.0,No,Second-Hand Dwelling house /Apartment,22,12,2015,7
"INNISFAEL, CHAPEL RD, BAILIEBORO",Cavan,106000.0,No,Second-Hand Dwelling house /Apartment,5,4,2016,6
"BENMORE BULLAUN, LOUGHREA, GALWAY",Galway,327500.0,No,Second-Hand Dwelling house /Apartment,30,9,2016,6
"4 THE LINKS, LUDDON, BUNCRANA",Donegal,190000.0,No,Second-Hand Dwelling house /Apartment,19,7,2018,4
"1 Drummartin Park, Upper Kilmacud Road, Dundrum",Dublin,687500.0,No,Second-Hand Dwelling house /Apartment,9,12,2015,7
"3 Parklands Gables, Parklands, Citywest 24",Dublin,349999.95,No,New Dwelling house /Apartment,8,9,2021,1
"8 HAZELWOOD, BALLIVOR, MEATH",Meath,195000.0,No,Second-Hand Dwelling house /Apartment,20,1,2021,1
"Kilcornan, Clarinbridge",Galway,766125.0,No,New Dwelling house /Apartment,29,11,2011,11
"41 Griffeen Glen Boulevard, Lucan, Co. Dublin",Dublin,179950.0,No,Second-Hand Dwelling house /Apartment,14,8,2012,10
"85 The Hawthorns, Carraroe",Sligo,144999.9955,No,New Dwelling house /Apartment,3,2,2016,6
"THE SQUARE, LUSK, DUBLIN",Dublin,275000.0,No,Second-Hand Dwelling house /Apartment,11,7,2014,8
"5 Callan View, Inagh",Clare,130000.0,No,Second-Hand Dwelling house /Apartment,9,4,2010,12
"Apts 16  16A  17  17A  19 and 19A, Harley Wood, Togher",Cork,307000.0,No,Second-Hand Dwelling house /Apartment,20,3,2014,8
"13 HOMELEIGH, PORTERSTOWN, DUBLIN 15",Dublin,1250000.0,No,Second-Hand Dwelling house /Apartment,30,3,2020,2
"55 BOURNE AVE, ASHBOURNE, MEATH",Meath,186000.0,No,Second-Hand Dwelling house /Apartment,18,6,2019,3
"24 CASTLE COURT, KILLINEY HILL RD, KILLINEY",Dublin,370000.0,No,Second-Hand Dwelling house /Apartment,9,4,2020,2
"10 The Park, St Marnock's Bay, Station Road",Dublin,601538.65,Yes,New Dwelling house /Apartment,4,8,2020,2
"5 ST PATRICKS TERRACE, LOWER GLANMIRE RD, CORK",Cork,180000.0,No,Second-Hand Dwelling house /Apartment,10,6,2016,6
"37 CASTLERIADA DR, LUCAN, DUBLIN",Dublin,350000.0,No,Second-Hand Dwelling house /Apartment,13,3,2020,2
"230 ELM MOUNT MOUNT, BEAUMONT, DUBLIN 9",Dublin,168249.44,No,Second-Hand Dwelling house /Apartment,31,7,2015,7
"55 MARLBOROUGH MEWS, NORTH CIRCULAR RD, DUBLIN 7",Dublin,227719.0,No,Second-Hand Dwelling house /Apartment,20,3,2018,4
"TEACH ARAN CHNORC, BALLYSALLAGH, KILLYBEGS",Donegal,170000.0,No,Second-Hand Dwelling house /Apartment,26,4,2016,6
"Chantilly House, Rathmichael, Co. Dublin",Dublin,1250000.0,No,Second-Hand Dwelling house /Apartment,4,10,2013,9
"57 ARD NA GRIENE, BANDUFF RD, BALLYVOLANE CORK",Cork,262000.0,No,Second-Hand Dwelling house /Apartment,30,8,2016,6
"39 HAND ST, DROGHEDA, CO LOUTH",Louth,75000.0,No,Second-Hand Dwelling house /Apartment,4,10,2013,9
"49 GROSVENOR LODGE, RATHMINES, DUBLIN 6",Dublin,342500.0,No,Second-Hand Dwelling house /Apartment,6,8,2020,2
"78 BLARNEY ST, CORK",Cork,239000.0,No,Second-Hand Dwelling house /Apartment,19,1,2021,1
"18 Stradbally North, Castleconnell, Co Limerick",Limerick,200000.0,No,Second-Hand Dwelling house /Apartment,22,8,2011,11
"APT 242, BELLEVUE, ISLANDBRIDGE DUBLIN 8",Dublin,284057.0,No,Second-Hand Dwelling house /Apartment,12,10,2017,5
"88 KILTIPPER GATE, KILTIPPER RD, TALLAGHT DUBLIN 24",Dublin,193000.0,No,Second-Hand Dwelling house /Apartment,18,12,2020,2
"122 WHITEBARN ROAD, CHURCHTOWN, DUBLIN 14",Dublin,525000.0,No,Second-Hand Dwelling house /Apartment,9,11,2018,4
"50 RYECROFT, MARYBOROUGH WOODS, DOUGLAS",Cork,306450.0,No,New Dwelling house /Apartment,27,10,2017,5
"445 Clonmullen, Edenderry",Offaly,90000.0,No,Second-Hand Dwelling house /Apartment,31,3,2011,11
"23 CLUAIN AOIBHINN, MAYNOOTH, KILDARE",Kildare,290000.0,No,Second-Hand Dwelling house /Apartment,8,10,2019,3
"47 BREMORE CASTLE, BALBRIGGAN, CO DUBLIN",Dublin,105000.0,No,Second-Hand Dwelling house /Apartment,10,2,2016,6
"288 WYCKHAM POINT, WYCKHAM WAY, DUNDRUM DUBLIN 16",Dublin,485000.0,No,Second-Hand Dwelling house /Apartment,16,11,2017,5
"CLOONFINGLASS, FAIRYMOUNT, CASTLEREA",Roscommon,55000.0,No,Second-Hand Dwelling house /Apartment,31,7,2020,2
"5 Dalriada Walk, Knocklyon",Dublin,344999.99125,No,New Dwelling house /Apartment,17,10,2016,6
"38 Riverwalk, Tir Chluain, Midleton",Cork,110000.0,No,Second-Hand Dwelling house /Apartment,19,12,2014,8
"103 HUNTERS GREEN, PALATINE RD, POLLERTON",Carlow,230000.0,No,Second-Hand Dwelling house /Apartment,5,1,2016,6
"APT 1 THE BUNGALOW, COOLRUSS, TINAHELY",Wicklow,52500.0,No,Second-Hand Dwelling house /Apartment,22,1,2019,3
"6 FERNLEIGH CRESCENT, CASTLEKNOCK, DUBLIN 15",Dublin,197500.0,Yes,Second-Hand Dwelling house /Apartment,5,9,2019,3
"Apartment 1B, Block 20, New Priory Hole in the wall road",Dublin,283750.0,No,New Dwelling house /Apartment,1,10,2021,1
"22 WOODVIEW, MOUNT MERRION AVE, BLACKROCK",Dublin,445000.0,No,Second-Hand Dwelling house /Apartment,26,9,2019,3
"Figart, Carrigart",Donegal,262399.515,No,New Dwelling house /Apartment,13,5,2021,1
"76 WILLOW PARK RD, GLASNEVIN, DUBLIN 11",Dublin,361000.0,No,Second-Hand Dwelling house /Apartment,2,6,2017,5
"71 Churchwell Drive, Belmayne, Balgriffin",Dublin,147614.92,Yes,Second-Hand Dwelling house /Apartment,12,4,2012,10
"11 CLUAIN ARD, BALLYBRIT, GALWAY",Galway,187500.0,No,Second-Hand Dwelling house /Apartment,16,10,2018,4
"OLD WHITEGATE INN, MAIN STREET, WHITEGATE",Clare,180000.0,No,Second-Hand Dwelling house /Apartment,2,11,2021,1
"10 THE TURNPIKE, ST PAPPINS ST, BALLYMUN DUBLIN 9",Dublin,132500.0,No,Second-Hand Dwelling house /Apartment,31,10,2017,5
"Apartment 1  Block F, The Hawthorns, Newbridge",Kildare,119175.0,No,New Dwelling house /Apartment,18,1,2016,6
"CARKER, DONERAILE, CO CORK",Cork,125000.0,No,Second-Hand Dwelling house /Apartment,23,3,2016,6
"5 Sandford Square, Merton Drive, Ranelagh",Dublin,1250000.0,No,New Dwelling house /Apartment,27,4,2011,11
"2  Castlewood Park, Killerisk, Tralee",Kerry,180000.0,No,Second-Hand Dwelling house /Apartment,1,11,2012,10
"119 RIVERFOREST, LEIXLIP, KILDARE",Kildare,219000.0,No,Second-Hand Dwelling house /Apartment,30,11,2015,7
"4 BEECHPARK, CASTLE RD, KILKENNY",Kilkenny,95000.0,No,Second-Hand Dwelling house /Apartment,2,5,2018,4
"BLOCK E APT 101, AN TSEAN MHARGADH, DROGHEDA",Louth,173000.0,No,Second-Hand Dwelling house /Apartment,28,3,2018,4
"26 Carmen Lawn, Belmont, Rochestown",Cork,213947.5,No,New Dwelling house /Apartment,19,1,2011,11
"12 BOICE MANOR, TENURE, DUNLEER",Louth,350000.0,No,Second-Hand Dwelling house /Apartment,9,4,2021,1
"55 Inis Alainn, Curraclough, Bandon",Cork,284999.98685,No,New Dwelling house /Apartment,7,2,2019,3
"11 WOODLAWN CLOSE, SANTRY, DUBLIN 9",Dublin,404000.0,No,Second-Hand Dwelling house /Apartment,11,10,2021,1
"73 ST HELENS RD, BOOTERSTOWN, DUBLIN",Dublin,1000000.0,No,Second-Hand Dwelling house /Apartment,13,2,2017,5
"17 Aubrey Grove, Shankill",Dublin,238000.0,No,Second-Hand Dwelling house /Apartment,24,8,2012,10
"47 Ardsolus, Old Naas Road, Brownsbarn",Dublin,345000.275,No,New Dwelling house /Apartment,29,4,2019,3
"23 CHURCH DR, EDEN GATE, DELGANY",Wicklow,482500.0,No,Second-Hand Dwelling house /Apartment,21,1,2021,1
"Goff Street, Roscommon",Roscommon,150000.0,No,Second-Hand Dwelling house /Apartment,31,5,2011,11
"5 DIAMOND HILL, CASTLEVIEW, MONKSTOWN",Cork,470000.0,No,Second-Hand Dwelling house /Apartment,26,9,2019,3
"Apartment 421, Galloping Green, Stillorgan Road",Dublin,210000.0,No,Second-Hand Dwelling house /Apartment,19,4,2013,9
"21 RUSHBROOKE MANOR, COBH, CORK",Cork,121500.0,No,Second-Hand Dwelling house /Apartment,17,2,2016,6
"32 Hardebeck Avenue, Walkinstown",Dublin,134000.0,No,Second-Hand Dwelling house /Apartment,27,5,2013,9
"2 MAYESTON DOWNS, MAYESTON HALL, FINGLAS",Dublin,179210.56,No,Second-Hand Dwelling house /Apartment,23,12,2019,3
"21 Marwood Avenue, Glanmire",Cork,215000.0,No,Second-Hand Dwelling house /Apartment,24,5,2010,12
"11 BALLYROAN HEIGHTS, RATHFARNHAM, DUBLIN 16",Dublin,600000.0,No,Second-Hand Dwelling house /Apartment,6,11,2020,2
"18 Lios a Ghoirtin, Clones",Monaghan,164575.0,No,New Dwelling house /Apartment,4,9,2013,9
"45 MAGDELENE COURT, KELLS, MEATH",Meath,113750.0,No,Second-Hand Dwelling house /Apartment,8,10,2021,1
"5 MARINE TERRACE, TRAMORE, CO. WATERFORD",Waterford,350000.0,No,Second-Hand Dwelling house /Apartment,18,7,2018,4
"14 Cathedral Street, Enniscorthy",Wexford,77000.0,No,Second-Hand Dwelling house /Apartment,1,7,2011,11
"25  Mount Drummond Avenue, Harold's Cross",Dublin,235000.0,No,Second-Hand Dwelling house /Apartment,17,6,2013,9
"3 RUSSELL CRESENT, TALLAGHT, DUBLIN24",Dublin,85000.0,No,Second-Hand Dwelling house /Apartment,17,12,2014,8
"23 CORDUFF CRESCENT, BLANCHARDSTOWN, DUBLIN 15",Dublin,151000.0,No,Second-Hand Dwelling house /Apartment,6,10,2014,8
"57B THE LAWN, ABBEYLANDS, CLANE",Kildare,165000.0,Yes,Second-Hand Dwelling house /Apartment,28,11,2017,5
"117 MANOR VILLAGE, WESTPORT ROAD, CASTLEBAR",Mayo,120000.0,No,Second-Hand Dwelling house /Apartment,14,11,2019,3
"3 The Grange, Louisa Valley, Leixlip",Kildare,489998.795,No,New Dwelling house /Apartment,13,12,2019,3
