Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description,day,month,year
25/11/2013,"74 CARDIFF BRIDGE RD, DUBLIN 11, DUBLIN",,Dublin,140000.00,No,No,Second-Hand Dwelling house /Apartment,,25,11,2013
29/09/2017,"GURTEEN, BALLINASLOE, CO. GALWAY",,Galway,190000.00,No,No,Second-Hand Dwelling house /Apartment,,29,09,2017
02/11/2010,"Kilmore, Enfield",,Kildare,85000.00,No,No,Second-Hand Dwelling house /Apartment,,02,11,2010
18/09/2015,"46 PAIRC CHUIMIN, KILCUMMIN, KILLARNEY",,Kerry,163000.00,No,No,Second-Hand Dwelling house /Apartment,,18,09,2015
15/09/2015,"7 CASTLEVIEW, BALLYDANIEL, BALLYMACODA",,Cork,80000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,15,09,2015
20/09/2017,"APT 38, 2 GEORGES QUAY, DUBLIN 2",Dublin 2,Dublin,200000.00,No,No,Second-Hand Dwelling house /Apartment,,20,09,2017
23/11/2016,"Apt 97 Station Court, Gorey",,Wexford,113313.70,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23,11,2016
13/04/2012,"East Hall, Delgany",,Wicklow,1030000.00,No,No,Second-Hand Dwelling house /Apartment,,13,04,2012
02/11/2016,"4 SHEARES STREET, KILMALLOCK, CO. LIMERICK",,Limerick,16200.00,No,No,Second-Hand Dwelling house /Apartment,,02,11,2016
02/09/2016,"APT 1, BAYSIDE ARBOURS, SANDY RD",,Dublin,147000.00,No,No,Second-Hand Dwelling house /Apartment,,02,09,2016
08/08/2017,"28 AUGHANTEEROE, ENNIS, CO CLARE",,Clare,167000.00,No,No,Second-Hand Dwelling house /Apartment,,08,08,2017
10/10/2018,"37 MOOREHALL CLOSE, HALE STREET, ARDEE",,Louth,180000.00,No,No,Second-Hand Dwelling house /Apartment,,10,10,2018
17/12/2019,"82 FERNDALE AVE, FINGLAS EAST, DUBLIN 11",Dublin 11,Dublin,315000.00,No,No,Second-Hand Dwelling house /Apartment,,17,12,2019
27/07/2017,"14 PAIRC NA FANA, UNION HALL, CO CORK",,Cork,298000.00,No,No,Second-Hand Dwelling house /Apartment,,27,07,2017
15/02/2017,"30 DEERHAVEN AVE, CLONEE, DUBLIN 15",Dublin 15,Dublin,242000.00,No,No,Second-Hand Dwelling house /Apartment,,15,02,2017
16/03/2017,"8 NEW ST, KILLALOE, CLARE",,Clare,141000.00,No,No,Second-Hand Dwelling house /Apartment,,16,03,2017
06/02/2018,"64 THE GROODY STUDENT PARK, CASTLETROY, LIMERICK",,Limerick,187000.00,No,No,Second-Hand Dwelling house /Apartment,,06,02,2018
06/10/2017,"21 Royal Canal Avenue, Royal Canal Park, Rathoath Road",Dublin 15,Dublin,392070.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,06,10,2017
27/04/2021,"34 GLENMALURE SQ, MILLTOWN, DUBLIN 6",Dublin 6,Dublin,455000.00,No,No,Second-Hand Dwelling house /Apartment,,27,04,2021
10/05/2016,"41 AHERLOW CLOSE, GLENMORE LAWN, CAHERDAVIN",,Limerick,99500.00,No,No,Second-Hand Dwelling house /Apartment,,10,05,2016
21/06/2021,"FAIRHOLME, ABBEY RD, BLACKROCK",,Dublin,900000.00,No,No,Second-Hand Dwelling house /Apartment,,21,06,2021
15/03/2013,"248 Littlepace Court, Clonee",,Dublin,255000.00,No,No,Second-Hand Dwelling house /Apartment,,15,03,2013
11/10/2018,"AN CARRAIG, ROVEAGH, KILCOLGAN",,Galway,465000.00,No,No,Second-Hand Dwelling house /Apartment,,11,10,2018
17/05/2011,"59 Ros Alainn, Gurteenroe, Macroom",,Cork,150000.00,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,05,2011
20/12/2018,"9 BRUSNA COURT, BALLINA, CO. MAYO",,Mayo,165000.00,No,No,Second-Hand Dwelling house /Apartment,,20,12,2018
15/06/2012,"126 Crosbies Yard, Ossory Road",,Dublin,132500.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,15,06,2012
22/07/2014,"6 CHERRYVALLEY GREEN, RATMMOYLAN, MEATH",,Meath,170000.00,No,No,Second-Hand Dwelling house /Apartment,,22,07,2014
09/03/2015,"24 MONEN VIEW, THE HOLLANDS, ATHY",,Kildare,90000.00,No,No,Second-Hand Dwelling house /Apartment,,09,03,2015
27/05/2015,"11 COOPERS WOOD, KINSEALY",,Dublin,427312.78,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,27,05,2015
22/08/2014,"65 The Glenties, Macroom",,Cork,154500.00,No,No,Second-Hand Dwelling house /Apartment,,22,08,2014
11/02/2015,"LISLAUGHTIN, BALLYLONGFORD, LISTOWEL",,Kerry,28929.00,No,No,Second-Hand Dwelling house /Apartment,,11,02,2015
20/11/2018,"ROSSNACARTAN BEG, BEAUFORT, CO KERRY",,Kerry,72000.00,No,No,Second-Hand Dwelling house /Apartment,,20,11,2018
06/10/2020,"62 The Willows, Janeville, Cork Road",,Cork,277533.03,No,Yes,New Dwelling house /Apartment,,06,10,2020
03/12/2014,"LOUGHVIEW, CHAPEL HILL, KNOCKNAGORAN",,Louth,87500.00,No,No,Second-Hand Dwelling house /Apartment,,03,12,2014
21/06/2016,"52 JERVIS PLACE, DUBLIN 1, DUBLIN",,Dublin,239000.00,No,No,Second-Hand Dwelling house /Apartment,,21,06,2016
14/01/2020,"RATH, CARRICK ON SUIR, WATERFORD",,Waterford,157000.00,No,No,Second-Hand Dwelling house /Apartment,,14,01,2020
24/10/2016,"13 MILLMOUNT AVE, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,420000.00,No,No,Second-Hand Dwelling house /Apartment,,24,10,2016
15/08/2018,"44 MAIN STREET, BALLYBAY, CO MONAGHAN",,Monaghan,41000.00,No,No,Second-Hand Dwelling house /Apartment,,15,08,2018
14/12/2017,"Apartment 76, Northbank, Castleforbes Road Upper Sheriff St",Dublin 1,Dublin,302095.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,14,12,2017
02/02/2021,"1 White Pines Court, White Pines, Stocking Avenue",Dublin 16,Dublin,440528.63,No,Yes,New Dwelling house /Apartment,,02,02,2021
19/02/2016,"APARTMENT 13 VALLEY PARK, CLONATTIN VILLAGE, GOREY",,Wexford,85000.00,No,No,Second-Hand Dwelling house /Apartment,,19,02,2016
09/06/2021,"137 THE GLEN, ALDERBROOK, ASHBOURNE",,Meath,455000.00,No,No,Second-Hand Dwelling house /Apartment,,09,06,2021
25/09/2013,"26 Ard na Greine, Buncrana",,Donegal,174000.00,No,No,Second-Hand Dwelling house /Apartment,,25,09,2013
06/07/2018,"6 BLARNEY VIEW, GARDINERS HILL, CORK",,Cork,320000.00,No,No,Second-Hand Dwelling house /Apartment,,06,07,2018
16/06/2011,"34 Choill Darach, Castleblayney",,Monaghan,165000.00,Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16,06,2011
16/12/2016,"2  THORNBERRY ROAD, BELMONT, STEPASIDE",,Dublin,418500.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,16,12,2016
14/10/2016,"NEW DEERPARK, BUNCLODY, WEXFORD",,Carlow,281000.00,No,No,Second-Hand Dwelling house /Apartment,,14,10,2016
23/10/2018,"34 Cuil Duin Avenue, Cuil Duin, Citywest",Dublin 24,Dublin,268722.47,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,23,10,2018
27/11/2020,"43 MARINA PARK, VICTORIA RD, CORK",,Cork,444000.00,No,No,Second-Hand Dwelling house /Apartment,,27,11,2020
15/03/2013,"Kilminchy, Dublin Road, Portlaoise",,Laois,257000.00,No,No,Second-Hand Dwelling house /Apartment,,15,03,2013
19/06/2015,"3 Graigue Meadows, Ballypatrick, Clonmel",,Tipperary,230000.00,No,No,Second-Hand Dwelling house /Apartment,,19,06,2015
03/08/2017,"COOLREAGH, TOGHER, TUAM",,Galway,182000.00,No,No,Second-Hand Dwelling house /Apartment,,03,08,2017
21/12/2016,"29 MULLINARY, CARRICKMACROSS, MONAGHAN",,Monaghan,64000.00,No,No,Second-Hand Dwelling house /Apartment,,21,12,2016
08/05/2019,"29 Fairfield, Dunshaughlin",,Meath,301322.00,No,Yes,New Dwelling house /Apartment,,08,05,2019
03/12/2014,"3 CLIFDEN GLEN, CLIFDEN, GALWAY",,Galway,50000.00,No,No,Second-Hand Dwelling house /Apartment,,03,12,2014
17/10/2018,"387 CAPTAINS RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,330000.00,No,No,Second-Hand Dwelling house /Apartment,,17,10,2018
28/02/2020,"15 LIOS CARRA DRIVE, KILEENS, CO CORK",,Cork,136000.00,No,No,New Dwelling house /Apartment,,28,02,2020
08/12/2016,"100 STANAWAY ROAD, CRUMLIN, KIMMAGE",Dublin 12,Dublin,225000.00,No,No,Second-Hand Dwelling house /Apartment,,08,12,2016
18/07/2013,"16 St Patrick's Terrace, Dundalk",,Louth,89000.00,No,No,Second-Hand Dwelling house /Apartment,,18,07,2013
14/12/2016,"48 FOREST PARK, KILLYGORDON, LIFFORD",,Donegal,62000.00,No,No,Second-Hand Dwelling house /Apartment,,14,12,2016
05/04/2016,"5 AN RATH BHEAG, ABBEYLARA, LONGFORD",,Longford,40000.00,No,No,Second-Hand Dwelling house /Apartment,,05,04,2016
25/01/2021,"67 CHURCH HILL, TULLAMORE, CO OFFALY",,Offaly,80000.00,No,No,Second-Hand Dwelling house /Apartment,,25,01,2021
02/10/2020,"65 CEDAR PLACE, RIDGEWOOD, SWORDS",,Dublin,307039.00,No,No,Second-Hand Dwelling house /Apartment,,02,10,2020
30/03/2010,"Carrowgarrif, Cappagh, Dungarvan",,Waterford,175000.00,No,No,Second-Hand Dwelling house /Apartment,,30,03,2010
11/04/2019,"6 BASTION QUAY, THE DOCKS, ATHLONE",,Westmeath,220000.00,No,Yes,New Dwelling house /Apartment,,11,04,2019
01/08/2013,"2 Sandford Row, Colliers Avenue, Ranelagh",Dublin 6,Dublin,215000.00,No,No,Second-Hand Dwelling house /Apartment,,01,08,2013
29/11/2018,"CONVENT HOUSE, RICHARDSON FOLLY, WATERFORD",,Waterford,313000.00,No,No,Second-Hand Dwelling house /Apartment,,29,11,2018
06/04/2021,"96A MOUNT CARMEL, WICKLOW, WICKLOW",,Wicklow,270000.00,No,No,Second-Hand Dwelling house /Apartment,,06,04,2021
30/01/2019,"58 BRIDES GLEN PARK, SWORDS, DUBLIN",,Dublin,407500.00,No,No,Second-Hand Dwelling house /Apartment,,30,01,2019
20/12/2012,"No 3 Caislean Cuirt, The Commons, Thurles",,Tipperary,125000.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,20,12,2012
15/06/2012,"301C  Casement Road, Finglas West",Dublin 11,Dublin,63250.00,Yes,No,Second-Hand Dwelling house /Apartment,,15,06,2012
02/05/2019,"5 THE GRANARY, HENRY ST, TULLAMORE",,Offaly,90000.00,No,No,Second-Hand Dwelling house /Apartment,,02,05,2019
01/05/2019,"25 Cois Glaisin Walk, Johnstown, Navan",,Meath,202643.00,No,Yes,New Dwelling house /Apartment,,01,05,2019
21/12/2020,"10 LOWER STRAND ST, WICKLOW TOWN, WICKLOW",,Wicklow,230000.00,No,No,Second-Hand Dwelling house /Apartment,,21,12,2020
26/09/2013,"Ryefield, Virginia",,Cavan,145000.00,No,No,Second-Hand Dwelling house /Apartment,,26,09,2013
11/07/2016,"BALLYGALANE UPPER, LISMORE, CO WATERFORD",,Waterford,130000.00,No,No,Second-Hand Dwelling house /Apartment,,11,07,2016
10/08/2021,"29 WALSH RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,320000.00,No,No,Second-Hand Dwelling house /Apartment,,10,08,2021
18/09/2013,"104, O'Hanlon Park, Dundalk",,Louth,65000.00,No,No,Second-Hand Dwelling house /Apartment,,18,09,2013
12/04/2013,"Hale Street, Ardee",,Louth,25000.00,No,No,Second-Hand Dwelling house /Apartment,,12,04,2013
10/11/2017,"MONAMEIGH, CASHEL, TIPPERARY",,Tipperary,230000.00,No,No,Second-Hand Dwelling house /Apartment,,10,11,2017
05/02/2014,"4 The Avenue, Riverside Manor, Kilcullen",,Kildare,380000.00,No,No,Second-Hand Dwelling house /Apartment,,05,02,2014
14/10/2011,"37 Glenthorne, Killarney Road, Bray",,Wicklow,260000.00,No,No,Second-Hand Dwelling house /Apartment,,14,10,2011
28/11/2018,"KILLANURE, BRITTAS, LIMERICK",,Limerick,90000.00,No,No,Second-Hand Dwelling house /Apartment,,28,11,2018
18/02/2019,"6 THE COURT, NEWBRIDGE, KILDARE",,Kildare,152000.00,No,No,Second-Hand Dwelling house /Apartment,,18,02,2019
19/03/2019,"DAWROS ROAD, ROSBEG, PORTNOO",,Donegal,150000.00,No,No,Second-Hand Dwelling house /Apartment,,19,03,2019
21/06/2012,"10 Courthouse Square, Clifden",,Galway,55000.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,21,06,2012
11/07/2016,"APT 8 AUBURN, 118 HOWTH ROAD, DUBLIN 3",Dublin 5,Dublin,405000.00,No,No,Second-Hand Dwelling house /Apartment,,11,07,2016
30/04/2013,"18 Whites Villas, Dalkey",,Dublin,210000.00,No,No,Second-Hand Dwelling house /Apartment,,30,04,2013
26/08/2014,"25 Brandon Square, Waterville, Blanchardstown",Dublin 15,Dublin,250850.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,26,08,2014
18/01/2013,"15 Cluain Ri, Ashbourne",,Meath,135000.00,No,No,Second-Hand Dwelling house /Apartment,,18,01,2013
19/12/2018,"14 Cnoc Dubh Green, Ballyboughal, County Dublin",,Dublin,299559.00,No,Yes,New Dwelling house /Apartment,,19,12,2018
09/08/2021,"211 GREENACRES, AVENUE ROAD, DUNDALK",,Louth,128000.00,No,No,Second-Hand Dwelling house /Apartment,,09,08,2021
05/12/2014,"17 ORWELL WOODS, DARTRY, DUBLIN 6",Dublin 6,Dublin,550000.00,No,No,Second-Hand Dwelling house /Apartment,,05,12,2014
09/07/2018,"132 BELLEVUE, ISLANDBRIDGE, DUBLIN 8",Dublin 8,Dublin,310000.00,No,No,Second-Hand Dwelling house /Apartment,,09,07,2018
22/11/2012,"413 Colinswood, Collins Avenue",,Dublin,285000.00,No,No,Second-Hand Dwelling house /Apartment,,22,11,2012
08/05/2015,"132 Claremount Court, Glasnevin",Dublin 11,Dublin,351000.00,No,No,Second-Hand Dwelling house /Apartment,,08,05,2015
26/09/2018,"3 MOYVALE PARK, SLIGO ROAD, BALLINA",,Mayo,180000.00,No,No,Second-Hand Dwelling house /Apartment,,26,09,2018
01/09/2016,"16 SHELBOURNE AVE, LIMERICK, LIMERICK",,Limerick,100000.00,No,No,Second-Hand Dwelling house /Apartment,,01,09,2016
04/09/2015,"APARTMENT 6, LAKESHORE MARINA, KILLALOE",,Clare,50170.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,04,09,2015
03/07/2020,"35 Hillcrest, Kilcullen Road, Bellingsfield Naas",,Kildare,268722.47,No,Yes,New Dwelling house /Apartment,,03,07,2020
28/05/2021,"30 Bay Meadows Avenue, Bay Meadows, Hollystown",Dublin 15,Dublin,309199.00,No,Yes,New Dwelling house /Apartment,,28,05,2021
20/02/2017,"12 DEERPARK MANOR, VIRGINIA, CAVAN",,Cavan,185000.00,No,No,Second-Hand Dwelling house /Apartment,,20,02,2017
26/01/2017,"98 ST. JOSEPHS PARK, NENAGH, CO. TIPPERARY",,Tipperary,47000.00,No,No,Second-Hand Dwelling house /Apartment,,26,01,2017
22/03/2021,"80 Coill Rua, Mullingar",,Westmeath,262500.00,No,Yes,New Dwelling house /Apartment,,22,03,2021
23/12/2010,"33 Garrai De Brun, Fort Lorenzo, Taylors Hill",,Galway,246000.00,No,No,Second-Hand Dwelling house /Apartment,,23,12,2010
22/10/2019,"112 SALTHILL APTS, MONKSTOWN, BLACKROCK",,Dublin,870000.00,No,No,Second-Hand Dwelling house /Apartment,,22,10,2019
17/10/2017,"44 Churchfields Close, Ashbourne",,Meath,293347.02,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,10,2017
23/04/2013,"9 Kilmantin Road, Wicklow",,Wicklow,85000.00,No,No,Second-Hand Dwelling house /Apartment,,23,04,2013
11/01/2018,"APT 10 PIER VILLAGE, FELS POINT, TRALEE",,Kerry,99000.00,No,No,Second-Hand Dwelling house /Apartment,,11,01,2018
31/10/2017,"APT NO 147 SLI GHEAL, BALLYMONEEN ROAD, CO GALWAY",,Galway,130000.00,No,No,Second-Hand Dwelling house /Apartment,,31,10,2017
08/08/2012,"Apartment 5, Vandaleur Mews, Strand House",,Limerick,90188.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,08,08,2012
29/10/2014,"CASHINS, SALEEN, CASTLEBAR",,Mayo,48500.00,No,No,Second-Hand Dwelling house /Apartment,,29,10,2014
10/12/2020,"6 ENDERLY, CUNNINGHAM ROAD, DALKEY",,Dublin,1130000.00,No,No,Second-Hand Dwelling house /Apartment,,10,12,2020
29/08/2014,"3 ROCKFIELD CLOSE, STONEYLANE, ARDEE",,Louth,140000.00,No,No,Second-Hand Dwelling house /Apartment,,29,08,2014
10/08/2020,"48 BALLINACURRA GARDENS, LIMERICK CITY, LIMERICK",,Limerick,190000.00,No,No,Second-Hand Dwelling house /Apartment,,10,08,2020
03/03/2016,"7 Carrig Haven, Clonard",,Wexford,235000.00,No,No,Second-Hand Dwelling house /Apartment,,03,03,2016
22/04/2016,"10 TEMPLE LINN, BALLYMORE, WESTMEATH",,Westmeath,46961.11,No,No,Second-Hand Dwelling house /Apartment,,22,04,2016
02/11/2016,"4 MAPLEWOOD PARK, SPRINGFIELD, TALLAGHT DUBLIN 24",Dublin 24,Dublin,160994.00,No,No,Second-Hand Dwelling house /Apartment,,02,11,2016
07/12/2011,"6 Camlin View, Ballinalee",,Longford,54400.00,Yes,No,Second-Hand Dwelling house /Apartment,,07,12,2011
30/03/2010,"13 GERALD GRIFFIN STREET, CORK",,Cork,5250.00,No,No,Second-Hand Dwelling house /Apartment,,30,03,2010
09/07/2010,"57 Pomeroy Park, Rathangan",,Kildare,123303.96,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,09,07,2010
03/09/2019,"165 NEW SESKIN COURT, WHITESTOWN WAY, TALLAGHT DUBLIN 24",Dublin 24,Dublin,197000.00,No,No,Second-Hand Dwelling house /Apartment,,03,09,2019
26/06/2019,"15 HARBOUR VIEW, CROSSHAVEN, CORK",,Cork,170000.00,No,No,Second-Hand Dwelling house /Apartment,,26,06,2019
24/07/2014,"14 EARLS COURT, ATHY, CO. KILDARE",,Kildare,132000.00,No,No,Second-Hand Dwelling house /Apartment,,24,07,2014
17/12/2015,"10 Strand Court, Duncannon",,Wexford,247000.00,No,No,Second-Hand Dwelling house /Apartment,,17,12,2015
25/03/2014,"APT 3, CHURCHTOWN VIEW, CHURCHTOWN",,Limerick,25000.00,No,No,Second-Hand Dwelling house /Apartment,,25,03,2014
23/06/2021,"45 LUTTRELL PARK, CRESCENT, CASTLEKNOCK DUBLIN 15",Dublin 15,Dublin,540000.00,No,No,Second-Hand Dwelling house /Apartment,,23,06,2021
30/04/2018,"BOHALLY, ATTYMAS, CO MAYO",,Mayo,85000.00,No,No,Second-Hand Dwelling house /Apartment,,30,04,2018
07/03/2012,"Anbally, Cummer, Tuam",,Galway,205000.00,No,No,Second-Hand Dwelling house /Apartment,,07,03,2012
28/01/2011,"45 Kincora Drive, Clontarf, Dublin 3",,Dublin,605000.00,No,No,Second-Hand Dwelling house /Apartment,,28,01,2011
13/10/2020,"CLOONCRAFF, HILL ST, CARRICK ON SHANNON",,Roscommon,127000.00,No,No,Second-Hand Dwelling house /Apartment,,13,10,2020
20/10/2014,"31 GRANGE VIEW PLACE, GRANGE VIEW RD, CLONDALKIN DUBLIN 22",Dublin 22,Dublin,90000.00,No,No,Second-Hand Dwelling house /Apartment,,20,10,2014
30/03/2011,"64 Foxhills, Letterkenny",,Donegal,100000.00,No,No,Second-Hand Dwelling house /Apartment,,30,03,2011
18/12/2020,"APT 136 BLOCK 4 TEMPLE GARDENS, NORTHWOOD, SANTRY",Dublin 9,Dublin,350000.00,No,No,Second-Hand Dwelling house /Apartment,,18,12,2020
12/08/2016,"33 Castle Park, Termonfeckin, Co Louth",,Louth,249589.50,No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres,12,08,2016
03/04/2018,"233 BELMONT, SOUTHERN CROSS RD, BRAY",,Wicklow,395000.00,No,No,Second-Hand Dwelling house /Apartment,,03,04,2018
18/08/2020,"13 MALL LANE, WATERFORD, WATERFORD",,Waterford,135000.00,No,No,Second-Hand Dwelling house /Apartment,,18,08,2020
13/12/2018,"THE LODGE, SLANEY HILL, PARK",,Wexford,150000.00,No,No,Second-Hand Dwelling house /Apartment,,13,12,2018
11/07/2013,"effin road, charleville",,Cork,123000.00,No,No,Second-Hand Dwelling house /Apartment,,11,07,2013
25/02/2011,"ballycommon, nenagh",,Tipperary,285000.00,No,No,Second-Hand Dwelling house /Apartment,,25,02,2011
07/09/2010,"9 Oak Drive, Bridewood, Ovens",,Cork,235000.00,No,No,Second-Hand Dwelling house /Apartment,,07,09,2010
30/06/2017,"36 THE STREAMS, CARAGH, KILDARE",,Kildare,412000.00,No,No,Second-Hand Dwelling house /Apartment,,30,06,2017
09/06/2014,"7 ROYAL CANAL VIEW, PHIBSBOROUGH, DUBLIN 7",Dublin 7,Dublin,126670.00,No,No,Second-Hand Dwelling house /Apartment,,09,06,2014
18/05/2015,"39 Landscape Park, Churchtown, Dublin 14",Dublin 14,Dublin,500000.00,No,No,Second-Hand Dwelling house /Apartment,,18,05,2015
08/05/2015,"37 WATERS GATE, BILBERRY, WATERFORD",,Waterford,95000.00,No,No,Second-Hand Dwelling house /Apartment,,08,05,2015
27/07/2017,"17 CASTLEPARK, CAHERCONLISH, LIMERICK",,Limerick,130000.00,No,No,Second-Hand Dwelling house /Apartment,,27,07,2017
27/02/2019,"28 Botanika, Cleve Hill, Blackrock",,Clare,726872.00,No,Yes,New Dwelling house /Apartment,,27,02,2019
12/01/2016,"46 WAINSFORT MANOR DR, TERENURE, DUBLIN 6W",,Dublin,485000.00,No,No,Second-Hand Dwelling house /Apartment,,12,01,2016
16/11/2017,"1 VICTORIA TERRACE, MEATH RD, BRAY",,Wicklow,35000.00,No,No,Second-Hand Dwelling house /Apartment,,16,11,2017
15/09/2015,"22 STRAFFAN GATE, STRAFFAN, KILDARE",,Kildare,359000.00,No,No,Second-Hand Dwelling house /Apartment,,15,09,2015
17/06/2014,"16 ARD CAHON CLOSE, COOLKELLURE, LEHENAGHMORE",,Cork,236292.00,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,17,06,2014
08/12/2021,"32 MOORE HOUSE, LORETO ABBEY, RATHFARNHAM",Dublin 14,Dublin,410000.00,No,No,Second-Hand Dwelling house /Apartment,,08,12,2021
10/08/2017,"TEMPLELUDIGAN, BALLYWILLIAM, CO WEXFORD",,Wexford,112000.00,Yes,No,Second-Hand Dwelling house /Apartment,,10,08,2017
25/11/2021,"10 ROCKVILLE, SALTHILL, GALWAY",,Galway,324000.00,No,No,Second-Hand Dwelling house /Apartment,,25,11,2021
19/12/2016,"39 ASHLEY HALL, ST EDMUND'S, PALMERSTOWN",Dublin 20,Dublin,191000.00,No,No,Second-Hand Dwelling house /Apartment,,19,12,2016
03/12/2020,"11 Barters Wood, Tower, Blarney",,Cork,295154.00,No,Yes,New Dwelling house /Apartment,,03,12,2020
07/08/2015,"92 DROMROE AVE, WOODHAVEN, CASTLETROY",,Limerick,184000.00,No,No,Second-Hand Dwelling house /Apartment,,07,08,2015
15/01/2014,"5 fishermans cottage, querrin",,Clare,70500.00,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,15,01,2014
05/06/2014,"44 MAPLE COURT, MOUNT OVAL VILLAGE, ROCHESTOWN",,Cork,110000.00,No,No,Second-Hand Dwelling house /Apartment,,05,06,2014
11/05/2016,"32 OAKLANDS GREEN, MINEROCKS, BALLINALEE RD",,Longford,100000.00,No,No,Second-Hand Dwelling house /Apartment,,11,05,2016
24/07/2014,"71 Ard Uisce, Whiterock Hill, Wexford",,Wexford,118898.67,No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres,24,07,2014
06/04/2018,"6 DROMOD BAY, DROMOD, CO LEITRIM",,Leitrim,76000.00,No,No,Second-Hand Dwelling house /Apartment,,06,04,2018
09/07/2021,"MAIN STREET, CLOGHEEN, CO TIPPERARY",,Tipperary,80000.00,No,No,Second-Hand Dwelling house /Apartment,,09,07,2021
21/06/2019,"15 ABBEYBROOK GARDEN, KILBEGGAN, WESTMEATH",,Westmeath,150000.00,No,No,Second-Hand Dwelling house /Apartment,,21,06,2019
30/08/2019,"19 Belamine View, Belarmine Woods, Stepaside",Dublin 18,Dublin,396500.00,No,Yes,New Dwelling house /Apartment,,30,08,2019
27/07/2017,"2 OCEANWAVE, SALTHILL, GALWAY",,Galway,800000.00,No,No,Second-Hand Dwelling house /Apartment,,27,07,2017
16/07/2019,"37 WILLOW AVE, PRIMROSE GATES, CELBRIDGE",,Kildare,277000.00,No,No,Second-Hand Dwelling house /Apartment,,16,07,2019
06/01/2015,"CASTLEKEELY, CARAGH NAAS, KILDARE",,Kildare,230000.00,No,No,Second-Hand Dwelling house /Apartment,,06,01,2015
08/07/2011,"ARDSKEAGH, BUTTEVANT",,Cork,160000.00,No,No,Second-Hand Dwelling house /Apartment,,08,07,2011
09/11/2020,"HATCHERY LANE, INISTIOGE, CO KILKENNY",,Kilkenny,75000.00,No,No,Second-Hand Dwelling house /Apartment,,09,11,2020
31/10/2014,"3 SUGARLOAF TERRACE, VEVAY RD, BRAY",,Wicklow,470000.00,No,No,Second-Hand Dwelling house /Apartment,,31,10,2014
12/06/2017,"55 GOATSTOWN RD, DUBLIN 14, DUBLIN",Dublin 14,Dublin,580000.00,No,No,Second-Hand Dwelling house /Apartment,,12,06,2017
14/03/2017,"4 SEAMOUNT RD, MALAHIDE, DUBLIN",,Dublin,610000.00,No,No,Second-Hand Dwelling house /Apartment,,14,03,2017
15/11/2010,"25 Claremont Drive, Glasnevin",Dublin 11,Dublin,255000.00,No,No,Second-Hand Dwelling house /Apartment,,15,11,2010
16/09/2020,"93 DRYNAM DR, DRYNAM HALL, KINSEALY",,Dublin,311000.00,No,No,Second-Hand Dwelling house /Apartment,,16,09,2020
01/02/2013,"Apartment 85, 109 Parnell Street, Dublin 1",,Dublin,66000.00,No,No,Second-Hand Dwelling house /Apartment,,01,02,2013
03/02/2015,"30  Kingsfort Manor, Ballintogher",,Sligo,70484.59,No,Yes,New Dwelling house /Apartment,less than 38 sq metres,03,02,2015
13/09/2019,"27 FERNWOOD, DOUGHALOYNE, WILTON",,Cork,106707.00,No,No,Second-Hand Dwelling house /Apartment,,13,09,2019
31/10/2013,"Alliance Building, The Gasworks",Dublin 4,Dublin,38700000.00,Yes,No,Second-Hand Dwelling house /Apartment,,31,10,2013
12/10/2010,"3 Salt House Lane, Enniscorthy",,Wexford,70000.00,No,No,Second-Hand Dwelling house /Apartment,,12,10,2010
