Date of Sale (dd/mm/yyyy),Address,Postal Code,County,Price (€),Not Full Market Price,VAT Exclusive,Description of Property,Property Size Description
24/07/2012,"73 Hillcrest Drive, Lucan, Co. Dublin",,Dublin,"€145,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/10/2013,"Main Street, Mooncoin",,Kilkenny,"€17,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2014,"5 CHERRY COURT, BOREENMANNA RD, CORK",,Cork,"€216,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2017,"36 BENGAL TERRACE, LIMERICK",,Limerick,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2012,"73 St. Patrick's Crescent, Monkstown Farm, Dun Laoghaire",,Dublin,"€164,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2019,"HILLCREST, COAST RD, ROSSLARE STRAND",,Wexford,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/08/2018,"GREENACRE, GLASCARN, RATOATH",,Meath,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/11/2017,"23 GRIFFEEN WAY, ESKER MEADOWS, LUCAN",,Dublin,"€310,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/06/2015,"50 EUGENE ST, OFF CORK ST, DUBLIN 8",Dublin 8,Dublin,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/11/2018,"9 FORTBARRINGTON DR, DUN BRINN, ATHY",,Kildare,"€125,648.51",Yes,No,Second-Hand Dwelling house /Apartment,
17/11/2017,"7 LEDWIDGE HALL APTS, SLANE, COUNTY MEATH",,Meath,"€86,818.00",No,No,Second-Hand Dwelling house /Apartment,
22/11/2019,"FRIARSTOWN, DROMAHAIR, CO LEITRIM",,Leitrim,"€136,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2013,"9 RIDDLESFORD, SOUTHERN CROSS RD, BRAY",,Wicklow,"€312,000.00",No,No,Second-Hand Dwelling house /Apartment,
16/03/2020,"SCHOOL RD, LAHINCH, CLARE",,Clare,"€197,500.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2014,"TOMBRACK, FERNS, CO WEXFORD",,Wexford,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2015,"5 Riverside Apartments, Main Street, Arklow",,Wicklow,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2013,"Apt 2 Block 2, Hampton Court, Cootehill Road",,Cavan,"€22,050.00",No,No,Second-Hand Dwelling house /Apartment,
25/03/2019,"PUCKANE, NENAGH, CO TIPPERARY",,Tipperary,"€52,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/08/2019,"LUCERNE, NEWTOWN DONORE, CARAGH",,Kildare,"€375,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2020,"No. 12 Watercress Park, Watergrass Hill, Co. Cork",,Cork,"€270,679.48",Yes,Yes,New Dwelling house /Apartment,
12/10/2018,"27 MONTELADO WAY, FARMLEIGH, DUNMORE RD",,Waterford,"€170,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/02/2015,"201 CLUAIN DARA, CLONARD, WEXFORD",,Wexford,"€93,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/08/2015,"105 Brandon Square, Waterville, Blanchardstown",Dublin 15,Dublin,"€283,106.25",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
24/09/2021,"KILLINCOOLEY BEG, KILMUCKRIDGE, WEXFORD",,Wexford,"€722,500.00",No,No,Second-Hand Dwelling house /Apartment,
29/11/2016,"8 ROYAL EXCHANGE, PARLIAMENT ST, DUBLIN",Dublin 2,Dublin,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2013,"33 Greenwood Estate, Togher",,Cork,"€110,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2018,"10 GILFORD COURT, SANDYMOUNT, DUBLIN 4",Dublin 4,Dublin,"€795,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2018,"20 HAWTHORN DR, CABRA RD, THURLES",,Tipperary,"€68,500.00",No,No,Second-Hand Dwelling house /Apartment,
30/06/2021,"CREEVE, RATHMULLAN, DONEGAL",,Donegal,"€100,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/11/2017,"71 Aisling Park Estate, Shanaway Road, Ennis",,Clare,"€61,430.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/12/2014,"GREENLANE, BORRISOKANE, TIPPERARY",,Tipperary,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/08/2012,"27 Carrigmore Avenue, Citywest",,Dublin,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2017,"56 FASSAUGH ROAD, CABRA, DUBLIN 7",Dublin 7,Dublin,"€350,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/03/2019,"37A KINGSGROVE, ATHY, KILDARE",,Kildare,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/10/2017,"102 CLONMACNOISE RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€250,100.00",No,No,Second-Hand Dwelling house /Apartment,
03/08/2016,"41 WOODSTOCK, KILCOOLE, WICKLOW",,Wicklow,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2012,"Saol Nua, Ballyogan Road, Carrickmines",,Dublin,"€440,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2019,"43 Templeville, Punches Cross, Ballinacurra",,Limerick,"€290,748.89",No,Yes,New Dwelling house /Apartment,
06/12/2019,"ABBEY COTTAGE, BECTIVE, NAVAN",,Meath,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/04/2020,"14 THE PADDOCKS, STRADAVOHER, THURLES",,Tipperary,"€168,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/03/2019,"39 Innisfallen, Rookery Road, Ballycasheen",,Kerry,"€242,290.00",No,Yes,New Dwelling house /Apartment,
10/09/2021,"LOWER KILQUANE, BALLYDAVID, TRALEE",,Kerry,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/01/2016,"NO 7 BLOCK B, SILVERBRIDGE COURT, CLAREMORRIS",,Mayo,"€20,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/02/2021,"153 ROSCAOIN, GALWAY",,Galway,"€283,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/10/2019,"9 Sharman Avenue, Crawford Gate, Bessboro Road",,Cork,"€281,938.00",No,Yes,New Dwelling house /Apartment,
26/08/2010,"30 Drumcliffe Road, Cabra, Dublin 7",,Dublin,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/02/2010,"LISNACUNNA, BALLINSCARTHY, CLONAKILTY",,Cork,"€389,250.00",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
16/10/2014,"11 ST PATRICKS AVE, TIPPERARY, TIPPERARY",,Tipperary,"€69,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2019,"48 LOWER GLANMIRE RD, CORK",,Cork,"€133,330.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2019,"135 CARTON WOOD, DUBLIN ROAD, MAYNOOTH",,Kildare,"€356,828.19",No,Yes,New Dwelling house /Apartment,
05/10/2018,"1 RIVERWOOD, MOVILLE, CO. DONEGAL",,Donegal,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/12/2019,"29 An Fuaran Dublin Road, Oranmore",,Dublin,"€295,162.80",No,Yes,New Dwelling house /Apartment,
12/05/2021,"1 DRUMBANE, BIRR, CO OFFALY",,Offaly,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2019,"RATHANANE, VENTRY, DINGLE",,Kerry,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"41 FERNWAY, BRIDEWOOD, CLASSES LAKE",,Cork,"€205,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/04/2018,"FOUGHILL, TRIEN, CASTLEREA",,Roscommon,"€53,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2014,"32A CARRORROE AVE, THE DONAHIES, DUBLIN 13",Dublin 13,Dublin,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/02/2018,"4 Stoneleigh, Craddockstown, Naas",,Kildare,"€312,800.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
02/05/2014,"26 THE COURT, COMPASS QUAY, KINSALE",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/05/2011,"18 Holywell Grove, Sea Road, Kilcoole",,Wicklow,"€207,048.46",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/03/2021,"9 THE BROSNA, FRIARS MILL RD, MULLINGAR",,Westmeath,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/01/2011,"14 Dunvale Crescent, Frankfield, Douglas",,Cork,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/08/2015,"3  The Close, Maryborough Ridge, Douglas",,Cork,"€185,022.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
14/08/2020,"6 CASTLEROCK WOODS, CASTLEROCK, CASTLECONNELL",,Limerick,"€200,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/06/2021,"4 CARLINGFORD RD, DRUMCONDRA, DUBLIN 9",Dublin 9,Dublin,"€542,500.00",No,No,Second-Hand Dwelling house /Apartment,
01/05/2019,"43 Fairfield, Dunshaughlin",,Meath,"€330,396.00",No,Yes,New Dwelling house /Apartment,
29/07/2011,"Ballinastraw Upper, Killenagh, Gorey",,Wexford,"€50,660.79",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
26/07/2010,"36 Springmount, Kinsale",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/06/2020,"CAULFIELD, TULLYCO, COOTEHILL",,Cavan,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/11/2020,"7 CLAY FARM AVENUE, LEOPARDSTOWN",Dublin 18,Dublin,"€431,718.06",No,Yes,New Dwelling house /Apartment,
18/02/2021,"2 SEABURY ORCHARD, MALAHIDE, DUBLIN",,Dublin,"€625,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/11/2015,"No 17 Dun Ri, Bunratty",,Clare,"€100,000.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
30/09/2020,"11 Eastmount Gardens, Chapel Road, Delgany",,Wicklow,"€528,634.00",No,Yes,New Dwelling house /Apartment,
14/08/2014,"CUBA AVE, BANAGHER, OFFALY",,Offaly,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/03/2020,"COOSAN WEST, ATHLONE, WESTMEATH",,Westmeath,"€460,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/01/2015,"OGHAM, SLIGO",,Sligo,"€208,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/08/2017,"17 GRANGE GROVE, BLACKROCK, DUBLIN",,Dublin,"€500,000.00",No,No,Second-Hand Dwelling house /Apartment,
27/07/2017,"58 DERRY RD, CRUMLIN, DUBLIN 12",Dublin 12,Dublin,"€235,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/07/2010,"12A FOREST HILLS, DROGHEDA",,Louth,"€232,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/01/2021,"DUN RI, 8 BARRACK RD, MITCHELSTOWN",,Cork,"€260,000.00",No,No,Second-Hand Dwelling house /Apartment,
23/07/2018,"MEADOWLANDS, OVIDSTOWN, STRAFFAN",,Kildare,"€1,225,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/08/2021,"BALLYMABILLA, CAPPATAGGLE, BALLINASLOE",,Galway,"€125,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2018,"108 TYRCONNELL PARK, INCHICORE, DUBLIN 8",Dublin 8,Dublin,"€390,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2015,"293 NAVAN RD, DUBLIN 7, DUBLIN",Dublin 7,Dublin,"€425,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/08/2014,"8 BLACKTHORN HILL, KILTEEL RD, RATHCOOLE",Dublin 24,Dublin,"€154,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2019,"TOP FLOOR APARTMENT, MACMURROUGH HOUSE, 47 LOWER LEESON STREET",,Dublin,"€650,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/08/2017,"14 THE OLD GOLF LINKS, MALAHIDE, DUBLIN",,Dublin,"€1,680,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/11/2014,"9 HOLLYBANKWAY, CLONGOWRA, WATERFORD RD",,Kilkenny,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/06/2021,"THE SQUARE, KILBEGGAN, COUNTY WESTMEATH",,Westmeath,"€55,000.00",No,No,Second-Hand Dwelling house /Apartment,
17/12/2018,"24 CASTLEFIELD COURT, CLONSILLA, DUBLIN 15",Dublin 15,Dublin,"€382,500.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2018,"59 KILLEGLAND MEADOWS, KILLEGLAND ST, ASHBOURNE",,Meath,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/07/2015,"43 ATLANTIC WAY, BUNDORAN, SLIGO",,Sligo,"€43,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/09/2014,"1 MOYARD, SHANABALLA, ENNIS",,Clare,"€164,500.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2015,"7 Millbrae Heights, Carndonagh",,Donegal,"€50,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/10/2021,"59 LIOS ARD, ROSLEVAN, TULLA RD",,Clare,"€222,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/07/2012,"Apartment 5, 54/55 North Great Charles Street",Dublin 1,Dublin,"€161,838.60",Yes,No,Second-Hand Dwelling house /Apartment,
21/08/2019,"8 Hollywoodrath Drive, Hollystown, Dublin 15",Dublin 15,Dublin,"€321,586.00",No,Yes,New Dwelling house /Apartment,
21/04/2011,"38 Millbrae Meadows, Carndonagh",,Donegal,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/08/2017,"26 AN GLEIB, BALLIVOR, MEATH",,Meath,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/10/2020,"11 Oak Park Square, Naas, County Kildare",,Kildare,"€290,748.00",No,Yes,New Dwelling house /Apartment,
13/11/2015,"157 GLENDALE MEADOWS, LEIXLIP, KILDARE",,Kildare,"€290,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/12/2016,"135 FARRANFERRIS AVENUE, FARRANREE, CORK",,Cork,"€112,000.00",No,No,Second-Hand Dwelling house /Apartment,
02/04/2014,"15 THE COURTYARD, BRU NA GRUADAN, CASTLETROY",,Limerick,"€72,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/09/2017,"70 SWILLY ROAD, CABRA WEST, DUBLIN 7",Dublin 7,Dublin,"€320,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/04/2016,"9 Coill Dubh View, Malahide, Co. Dublin",,Dublin,"€418,502.20",No,Yes,New Dwelling house /Apartment,greater than 125 sq metres
03/02/2014,"APT 27 THE AMBER, THE GRANGE, STILLORGAN",,Dublin,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/09/2017,"Coach Road, Newtown, Glen of Aherlow",,Tipperary,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/01/2013,"White Oaks, Mill Cove, Castletownbere",,Cork,"€325,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/05/2011,"6 Whitestown Walk, Blanchardstown",,Dublin,"€153,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/06/2017,"APT 14, DOMINICS COURT, BANK PLACE",,Tipperary,"€46,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2021,"10 MORNINGTON GREEN, TRIM, MEATH",,Meath,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/12/2017,"Apartment 118, The Hermitage, Balgriffin",Dublin 13,Dublin,"€206,542.31",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
27/03/2014,"4 SHANOWEN GROVE, SANTRY, DUBLIN 9",Dublin 9,Dublin,"€240,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2015,"18 CURRAGH COURT, CURRAGH, KANTURK",,Cork,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
30/04/2013,"1 Mourne Court, Mourne View, Skerries",,Dublin,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/04/2014,"GLASHEENAULIN, NEAR CASTLETOWNSEND, WEST CORK",,Cork,"€1,665,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/05/2011,"74 Ard Na Sidhe, Mounthawk, Tralee",,Kerry,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/02/2020,"9 BLUEBERRY HILL, ESKER HILLS, PORTLAOISE",,Laois,"€177,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/12/2017,"1 Norabrook, Howth Road, Clontarf",Dublin 3,Dublin,"€1,101,320.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
21/11/2016,"NEW RD, BALTIMORE, SKIBBEREEN",,Cork,"€420,000.00",No,No,Second-Hand Dwelling house /Apartment,
29/03/2017,"ROSS COAST GUARD STATION UNIT 6, KILLALA, MAYO",,Mayo,"€75,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/02/2019,"44 Waverly Avenue, Waverly, Greystones",,Wicklow,"€427,500.00",No,Yes,New Dwelling house /Apartment,
27/06/2012,"Killarney Road, Kenmare",,Kerry,"€775,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/01/2014,"400 Market Mews, Maryborough Village, Portlaoise",,Laois,"€56,030.00",Yes,No,Second-Hand Dwelling house /Apartment,
19/01/2017,"88 WATERMILL, BETTYGLEN, RAHENY DUBLIN 5",Dublin 5,Dublin,"€401,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2020,"99 GERALD GRIFFIN ST, BLACKPOOL, CORK",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/09/2020,"MAIN STREET, FALCARRAGH, LETTERKENNY",,Donegal,"€115,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/09/2012,"knockahaw, dublin road, longford",,Longford,"€92,000.00",No,No,Second-Hand Dwelling house /Apartment,
01/03/2017,"24 CAREYSTOWN MEADOWS, WHITEGATE, CORK",,Cork,"€220,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/03/2021,"63 SAUNDERS LANE, RATHNEW, WICKLOW",,Wicklow,"€300,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/10/2021,"11 OAKLEY PARK, KILLEEN RD, TRALEE",,Kerry,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/11/2018,"91 RIVERDALE, ORANMORE, GALWAY",,Galway,"€165,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/12/2018,"38 RAILWAY CLOSE AN SEANLINE, KERRY ST, FETHARD",,Tipperary,"€120,000.00",Yes,No,Second-Hand Dwelling house /Apartment,
30/10/2020,"62 EDEN WOOD, DELGANY, WICKLOW",,Wicklow,"€285,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/08/2016,"NASCOSTO, SORRENTO RD, DALKEY",,Dublin,"€1,350,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/09/2014,"20 WHITETHORN, DROGHEDA, LOUTH",,Louth,"€120,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/03/2014,"74 LISSADYRA, TUAM, GALWAY",,Galway,"€80,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/02/2021,"BELLEVUE, CHURCH BUILDINGS, CASTLEPARK",,Wicklow,"€315,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/09/2012,"4 Auburn Villas, Athlone",,Westmeath,"€173,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/11/2011,"22 Greenbriar, Verdemont, Blanchardstown",,Dublin,"€104,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2021,"110 CARRIGWEIR, WEIR RD, TUAM",,Galway,"€114,537.00",No,Yes,New Dwelling house /Apartment,
09/02/2021,"7 WHEATFIELD CLOSE, CLONDALKIN, DUBLIN 22",Dublin 22,Dublin,"€230,000.00",No,No,Second-Hand Dwelling house /Apartment,
07/10/2010,"12 Elgin Road, Ballsbridge, Dublin 4.",,Dublin,"€1,400,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/09/2012,"33 Pier View, Wicklow Town",,Wicklow,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/05/2017,"34 TALLOW HALL, BELGARD SQ, TALLAGHT DUBLIN 24",Dublin 24,Dublin,"€186,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/11/2021,"1 RIVERVALE PARK, DUNLEER, LOUTH",,Louth,"€275,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/08/2021,"5 BRIDGE VIEW GARDENS, GREENSBRIDGE ST, KILKENNY",,Kilkenny,"€354,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/12/2019,"APT 1, 26 MARRSFIELD AVE, CLONGRIFFIN DUBLIN 13",Dublin 13,Dublin,"€187,000.00",No,No,Second-Hand Dwelling house /Apartment,
26/04/2016,"1 CLOVER COURT RETIREMENMT VILLAGE, SHINRONE, CO OFFALY",,Offaly,"€39,735.00",No,No,Second-Hand Dwelling house /Apartment,
23/03/2021,"DERRINTIN, LEENANE, CO GALWAY",,Galway,"€130,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/11/2010,"11 Woodpark Avenue, Westport",,Mayo,"€187,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/01/2019,"49 CARLETON VILLAGE, YOUGHAL, CORK",,Cork,"€123,000.00",No,No,Second-Hand Dwelling house /Apartment,
08/05/2015,"KNOCKERAGH, TIERNABOUL, KILLARNEY",,Kerry,"€210,000.00",No,No,Second-Hand Dwelling house /Apartment,
11/07/2019,"54 Doire Fea, Moycullen",,Galway,"€254,074.89",No,Yes,New Dwelling house /Apartment,
08/11/2019,"10 OLIVER PLUNKETT PARK, KILSARAN, CASTLEBELLINGHAM",,Louth,"€40,000.00",No,No,Second-Hand Dwelling house /Apartment,
14/05/2014,"7 THE RISE, SKERRIES ROCK, SKERRIES",,Dublin,"€295,000.00",No,No,Second-Hand Dwelling house /Apartment,
21/06/2018,"27 OAKLEY PARK, BLACKROCK, CO DUBLIN",,Dublin,"€730,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/08/2021,"APT 3 PARKNASILLA, VEVAY ROAD, BRAY",,Wicklow,"€280,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/04/2017,"7 PELLA RD, KILRUSH, CLARE",,Clare,"€44,000.00",No,No,Second-Hand Dwelling house /Apartment,
09/03/2020,"32 AN SRUTHAN, CROSS ST, LOUGHREA",,Galway,"€175,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/12/2013,"NEWTOWN STUD, CALLAN, KILKENNY",,Kilkenny,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/09/2019,"101 ST NICHOLAS AVE, DUNDALK, LOUTH",,Louth,"€90,000.00",No,No,Second-Hand Dwelling house /Apartment,
18/08/2017,"12 FITZGERALD PLACE, OLD BLACKROCK RD, CORK",,Cork,"€196,000.00",No,No,Second-Hand Dwelling house /Apartment,
19/02/2019,"29 CASTLEWOOD, LITTLE ISLAND, CORK",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
05/04/2017,"25 TORY SQ, WATERVILLE, BLANCHARDSTOWN DUBLIN 15",Dublin 15,Dublin,"€224,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/12/2014,"5 STATION HOUSE, CLIFDEN, COUNTY GALWAY",,Galway,"€70,000.00",No,No,Second-Hand Dwelling house /Apartment,
06/09/2017,"29 CATHEDRAL HILL, RAPHOE, DONEGAL",,Donegal,"€95,000.00",No,No,Second-Hand Dwelling house /Apartment,
24/03/2020,"55 INIS CLAIR, KILDYSERT RD, ENNIS",,Clare,"€190,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/05/2021,"APT 42 VIRGINIA HALL, BELGARD SQ WEST, DUBLIN 24",Dublin 24,Dublin,"€76,373.00",Yes,No,Second-Hand Dwelling house /Apartment,
14/08/2019,"2 FOXBOROUGH HALL, LUCAN, DUBLIN",,Dublin,"€195,000.00",No,No,Second-Hand Dwelling house /Apartment,
10/09/2019,"APT 1 BLOCK 1, WOODFORD MEADOWS, BALLYCONNELL",,Cavan,"€85,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/07/2018,"28 ASHTORN AVENUE, GORTNAMONA, HEADFORD",,Galway,"€219,283.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
12/04/2018,"4 THE DRIVE, MOYGLARE HALL, MAYNOOTH",,Kildare,"€422,907.00",No,Yes,New Dwelling house /Apartment,greater than or equal to 125 sq metres
12/03/2021,"23 BRIDGE AVENUE, ROYAL CANAL PARK, RATOATH   ASHTOWN",Dublin 15,Dublin,"€560,000.00",No,No,Second-Hand Dwelling house /Apartment,
20/10/2021,"13 Oak Springs, Rathdrum",,Wicklow,"€233,480.17",No,Yes,New Dwelling house /Apartment,
02/03/2016,"Property at Carraig Ard, Beach Road, Clifden",,Galway,"€474,000.00",No,No,Second-Hand Dwelling house /Apartment,
25/01/2018,"122 BEATTY PARK, CELBRIDGE, CO KILDARE",,Kildare,"€340,000.00",No,No,Second-Hand Dwelling house /Apartment,
04/02/2014,"FERAGHFAD, LONGFORD",,Longford,"€35,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/12/2014,"TUNCAR RD, DRUMALEE, BELTURBET",,Cavan,"€146,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/06/2011,"9  Galtrim Road, Bray",,Wicklow,"€526,250.00",No,No,Second-Hand Dwelling house /Apartment,
23/11/2016,"12 OAKLEIGH, THE COMMONS, DULEEK",,Meath,"€180,000.00",No,No,Second-Hand Dwelling house /Apartment,
13/10/2011,"23 Glen Easton Way, Leixlip",,Kildare,"€272,500.00",No,No,Second-Hand Dwelling house /Apartment,
25/05/2017,"THE GROVE, SEA RD, BALLYMONEY",,Wexford,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
15/05/2019,"451 IMLICK VILLAS, CARRIGANS, LIFFORD",,Donegal,"€37,500.00",No,No,Second-Hand Dwelling house /Apartment,
12/05/2017,"39 COIS LOWER, BALLYVELLY, TRALEE",,Kerry,"€150,000.00",No,No,Second-Hand Dwelling house /Apartment,
22/12/2016,"6 Ard na Coille, Lotamore, Mayfield",,Cork,"€180,000.00",Yes,Yes,New Dwelling house /Apartment,greater than or equal to 38 sq metres and less than 125 sq metres
22/01/2021,"4 NORTHBROOK AVE LOWER, NORTH STRAND, DUBLIN 3",Dublin 3,Dublin,"€395,000.00",No,No,Second-Hand Dwelling house /Apartment,
31/03/2016,"10A CEDAR WALK, RAHENY, DUBLIN 5",Dublin 5,Dublin,"€355,000.00",No,No,Second-Hand Dwelling house /Apartment,
12/04/2016,"CLUNA, 1 DUNMORE LAWN, BALLINLOUGH",,Cork,"€352,000.00",No,No,Second-Hand Dwelling house /Apartment,
03/03/2016,"36 Gort na Ri, Athenry, Co. Galway",,Galway,"€181,000.00",No,No,Second-Hand Dwelling house /Apartment,
28/08/2014,"43 AYLSBURY, BALLINCOLLIG, CORK",,Cork,"€225,000.00",No,No,Second-Hand Dwelling house /Apartment,
